Production Order,Audio ID,Source ID,Module,Screen ID(s),Topic,Audio Type,Target Length,Target Max Seconds,Estimated TTS Seconds @145wpm,Length Check,Final Asset Path,Script / Transcript,Transcript Required,Transcript Display,Playback Context,Embedded for MVP,Source Status,Production Status,Recording Priority,TTS Pass Status,Audio QA Status,Final Asset Status,Notes
48,AUD-211-C,AUD-211-C,Acceptance and Change,UNPLACED,Change definition,Term snippet,15 sec,15,7,OK / check in TTS,audio/acceptance/p_211_aud_211_c_change_definition.m4a,"Change means taking active steps to improve your well-being, even if tinnitus is still present.",Yes,Collapsed if used; placement not yet assigned.,Unplaced v10 glossary/term audio; needs placement review before build.,Pending placement,V10 approved edited script; not placed in screen spec,Needs placement decision before TTS,Hold,Not generated,Not checked,Placeholder path; file not yet supplied,"Included in v10 but absent from the MVP Screen Spec Audio Placement sheet. Likely glossary/term snippet; verify whether to include, combine, or park."
49,AUD-211-D,AUD-211-D,Acceptance and Change,UNPLACED,Dialectical thinking definition,Term snippet,15 sec,15,12,OK / check in TTS,audio/acceptance/p_211_aud_211_d_dialectical_thinking_definition.m4a,"Dialectical thinking is a formal way of saying that two truths can sit next to each other: yes, this is hard, and yes, I can still move forward.",Yes,Collapsed if used; placement not yet assigned.,Unplaced v10 glossary/term audio; needs placement review before build.,Pending placement,V10 approved edited script; not placed in screen spec,Needs placement decision before TTS,Hold,Not generated,Not checked,Placeholder path; file not yet supplied,"Included in v10 but absent from the MVP Screen Spec Audio Placement sheet. Likely glossary/term snippet; verify whether to include, combine, or park."
50,AUD-211-EA,AUD-211-EA,Acceptance and Change,UNPLACED,Experiential avoidance definition,Term snippet,15 sec,15,10,OK / check in TTS,audio/acceptance/p_211_aud_211_ea_experiential_avoidance_definitio.m4a,"Experiential avoidance means trying to escape uncomfortable thoughts, feelings, or sensations in ways that may bring short-term relief but make life smaller over time.",Yes,Collapsed if used; placement not yet assigned.,Unplaced v10 glossary/term audio; needs placement review before build.,Pending placement,V10 approved edited script; not placed in screen spec,Needs placement decision before TTS,Hold,Not generated,Not checked,Placeholder path; file not yet supplied,"Included in v10 but absent from the MVP Screen Spec Audio Placement sheet. Likely glossary/term snippet; verify whether to include, combine, or park."
51,AUD-213-OV,AUD-213-OV,Acceptance and Change,UNPLACED,Acceptance practice loop,Loop explainer,45-60 sec,60,19,OK / check in TTS,audio/acceptance/p_213_aud_213_ov_acceptance_practice_loop.m4a,"Notice the fight, name what you can influence, drop the rope for one moment, make a Yes AND statement, and choose one small step. This is not something you master once. It is something you return to whenever tinnitus starts taking over the whole room.",Yes,Collapsed if used; placement not yet assigned.,Unplaced v10 glossary/term audio; needs placement review before build.,Pending placement,V10 approved edited script; not placed in screen spec,Needs placement decision before TTS,Hold,Not generated,Not checked,Placeholder path; file not yet supplied,"Included in v10 but absent from the MVP Screen Spec Audio Placement sheet. Likely glossary/term snippet; verify whether to include, combine, or park."
52,AUD-300-OV,AUD-300-OV,Mindfulness,MF-001,Mindfulness,Chapter overview,60-90 sec,90,14,OK / check in TTS,audio/mindfulness/p_300_aud_300_ov_mindfulness.m4a,"Mindfulness is not forcing silence, forcing relaxation, or staring at tinnitus. In this app, mindfulness means building attention flexibility: noticing what is happening, widening the field of awareness, and returning to the present moment.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good.  
53,NEW-AUD-MF-ISNOT-001,NEW-AUD-MF-ISNOT-001,Mindfulness,MF-001,What mindfulness is and is not,Short explainer,30-45 sec,45,20,OK / check in TTS,audio/mindfulness/mf_isnot_001_what_mindfulness_is_not.m4a,"Mindfulness does not have to mean sitting in silence, forcing relaxation, or pretending tinnitus is not there. It can be one breath, one moment of noticing, or one practice of widening attention. For tinnitus, mindfulness is about flexibility: letting tinnitus be one part of awareness, not the whole field.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,Approved gap script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Approved during asset-gap closure; final natural-phrasing edits allowed during TTS.
54,AUD-301-G,AUD-301-G,Mindfulness,MF-002,Deep Breath Check-In,Guided practice,30-60 sec,60,17,OK / check in TTS,audio/mindfulness/p_301_aud_301_g_deep_breath_check_in.m4a,"You are already breathing, so we may as well start there. Take one slower breath in, let it out gently, and notice what changes in your body. You do not need to make tinnitus disappear. Just notice this one breath.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Slight adjustment
55,AUD-302-G,AUD-302-G,Mindfulness,MF-003,3-2-1 Senses,Guided practice,45-60 sec,60,17,OK / check in TTS,audio/mindfulness/p_302_aud_302_g_3_2_1_senses.m4a,"Look for three things you can see, two things you can feel, and one sound you can hear outside of tinnitus. This is not a test. It is a way to remind your attention that more is happening than tinnitus alone.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
56,AUD-303-G,AUD-303-G,Mindfulness,MF-004,Mindful Listening,Guided practice,60-120 sec,120,14,OK / check in TTS,audio/mindfulness/p_303_aud_303_g_mindful_listening.m4a,"Choose a simple activity, like making coffee or walking through a room. Listen broadly. Notice environmental sounds, body sounds, and tinnitus if it is present. Label tinnitus neutrally as one sound among others.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
57,NEW-AUD-MF-SHIFT-001,NEW-AUD-MF-SHIFT-001,Mindfulness,MF-005,Sound Shifting practice,Guided practice,60-90 sec,90,32,OK / check in TTS,audio/mindfulness/mf_shift_001_sound_shifting.m4a,"Choose a comfortable outside sound, such as a fan, water, rain, or another sound you can hear easily. Start by listening to that sound. Then, if tinnitus is present, gently notice it for a moment without arguing with it. Shift back to the outside sound. Then widen your attention and notice both sounds as part of the same environment. The goal is not to win or force tinnitus away. The goal is to practice moving attention on purpose.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,Approved gap script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Approved during asset-gap closure; final natural-phrasing edits allowed during TTS.
58,NEW-AUD-MF-HARD-001,NEW-AUD-MF-HARD-001,Mindfulness,MF-006,When mindfulness feels hard,Short explainer,30-45 sec,45,21,OK / check in TTS,audio/mindfulness/mf_hard_001_when_mindfulness_feels_hard.m4a,"If mindfulness feels hard, that does not mean you are doing it wrong. Make the practice shorter, keep your eyes open, add comfortable sound, or switch to a simple 3-2-1 senses exercise. Then choose when mindfulness fits best for you: morning, evening, or brief moments throughout the day.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,Approved gap script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Approved during asset-gap closure; final natural-phrasing edits allowed during TTS.
59,NEW-AUD-DT-SAFETY-001,NEW-AUD-DT-SAFETY-001,Distress Tolerance,DT-001,Distress is not the same as danger,Scope/safety explainer,30-45 sec,45,21,OK / check in TTS,audio/distress/dt_safety_001_distress_not_danger.m4a,"Distress tolerance skills are for moments that feel intense, frustrating, or overwhelming. They are not a substitute for help if you feel unsafe or are in a mental health crisis. If safety is the concern, the goal is not to practice perfectly. The goal is to get direct support right away.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,Approved gap script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Approved during asset-gap closure; final natural-phrasing edits allowed during TTS.
60,AUD-400-OV,AUD-400-OV,Distress Tolerance,DT-001,Distress Tolerance,Chapter overview,60-90 sec,90,17,OK / check in TTS,audio/distress/p_400_aud_400_ov_distress_tolerance.m4a,"Distress tolerance skills are for the moments when tinnitus feels overwhelming. These skills do not need to solve tinnitus. Their job is to help you pause, reduce the intensity of the moment, and avoid reacting in a way that makes things harder.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
61,AUD-401-S,AUD-401-S,Distress Tolerance,DT-001,Fluctuations,Short explainer,15-30 sec,30,8,OK / check in TTS,audio/distress/p_401_aud_401_s_fluctuations.m4a,The word fluctuation reminds us that tinnitus can change. A difficult moment does not automatically mean a permanent setback.,Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good.  
62,AUD-403-G,AUD-403-G,Distress Tolerance,DT-002,STOP,Guided practice,60-90 sec,90,14,OK / check in TTS,audio/distress/p_403_aud_403_g_stop.m4a,"Stop. Take a step back. Observe what is happening in your body, thoughts, emotions, and urges. Then proceed mindfully by choosing the next action that helps rather than the first reaction that appears.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
63,AUD-402-G,AUD-402-G,Distress Tolerance,DT-003,Temperature Reset,Guided practice,30-60 sec,60,13,OK / check in TTS,audio/distress/p_402_aud_402_g_temperature_reset.m4a,Temperature changes can grab our attention.  The goal of this is changing the perception that we are having.  Definitely not causing pain.  We are bringing awareness to one of our senses.  ,Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Changed.  
64,NEW-AUD-DT-ICE-001,NEW-AUD-DT-ICE-001,Distress Tolerance,DT-003,Grab an ice cube,Guided mini-exercise,30-60 sec,60,23,OK / check in TTS,audio/distress/dt_ice_001_ice_cube.m4a,"For a quick temperature reset, hold an ice cube, a cold pack, or something cool in your hand. Notice the temperature, texture, and the way your attention shifts. This is not about causing pain. Set it down if it hurts. The purpose is to give your body a clear signal that helps the moment slow down.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,Approved gap script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Approved during asset-gap closure; final natural-phrasing edits allowed during TTS.
65,AUD-404-G,AUD-404-G,Distress Tolerance,DT-004,TIPP,Exercise walkthrough,60-120 sec,120,12,OK / check in TTS,audio/distress/p_404_aud_404_g_tipp.m4a,"TIPP uses the body to help calm the mind: temperature, intense movement when appropriate, paced breathing, and paired muscle relaxation. Choose the safest option for your body and your situation.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
66,NEW-AUD-DT-ORANGE-001,NEW-AUD-DT-ORANGE-001,Distress Tolerance,DT-005,Frozen orange sensory grounding,Guided mini-exercise,45-60 sec,60,26,OK / check in TTS,audio/distress/dt_orange_001_frozen_orange.m4a,"A frozen orange or another piece of citrus can become a simple grounding tool. Hold it and notice the cold, the texture, the weight, and any scent that appears as it warms. As the surface changes, let your attention follow those details. The point is not pain or endurance. The point is using safe, noticeable sensory information to step out of the tinnitus tornado.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,Approved gap script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Approved during asset-gap closure; final natural-phrasing edits allowed during TTS.
67,NEW-AUD-DT-SKILL-001,NEW-AUD-DT-SKILL-001,Distress Tolerance,DT-006,Skill response sheet,Exercise walkthrough,30-45 sec,45,23,OK / check in TTS,audio/distress/dt_skill_001_response_sheet.m4a,"After using a distress skill, write only a few words. What was happening? What skill did you use? Did it help a little, a lot, or not right now? This is not a graded assignment. It is a way to learn which tools are useful and to fill in the emotional regulation line when it fits.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,Approved gap script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Approved during asset-gap closure; final natural-phrasing edits allowed during TTS.
68,AUD-500-OV,AUD-500-OV,Cognitive Reframing,CR-001,Cognitive Reframing,Chapter overview,60-90 sec,90,21,OK / check in TTS,audio/cognitive/p_500_aud_500_ov_cognitive_reframing.m4a,"Cognitive reframing is not forced positivity. It is a way of slowing down a thought, checking whether it is accurate, and finding a more balanced way to respond. Tinnitus may be real and difficult, and your mind may still add a story that makes the moment feel even more threatening.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
69,AUD-501-S,AUD-501-S,Cognitive Reframing,CR-001,CBT Context,Short explainer,15-30 sec,30,17,OK / check in TTS,audio/cognitive/p_501_aud_501_s_cbt_context.m4a,"CBT is built around a simple idea: what we think, what we feel, and what we do all influence each other. In this app, we are using one practical CBT skill: checking the thoughts that make tinnitus distress feel bigger.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
70,AUD-505-TINNITUS,AUD-505-TINNITUS,Cognitive Reframing,CR-001,Why This Matters for Tinnitus,Short explainer,30-60 sec,60,14,OK / check in TTS,audio/cognitive/p_505_aud_505_tinnitus_why_this_matters_for_tinnitus.m4a,"Tinnitus is not only the sound. It is also the meaning your brain attaches to the sound. If the meaning is danger, helplessness, or failure, distress can grow quickly. Reframing helps test that meaning.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Slight adjustment
71,AUD-514-NOT-POSITIVE,AUD-514-NOT-POSITIVE,Cognitive Reframing,CR-001,Not Forced Positivity,Short explainer,30-60 sec,60,15,OK / check in TTS,audio/cognitive/p_514_aud_514_not_positive_not_forced_positivity.m4a,"This is not about telling yourself tinnitus is wonderful. That would probably feel fake, because it is. Reframing is about accuracy: this is unpleasant, and it does not have to control every choice I make today.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
72,AUD-502-LOOP,AUD-502-LOOP,Cognitive Reframing,CR-002,Thoughts Feelings Behaviors,Short explainer,15-30 sec,30,16,OK / check in TTS,audio/cognitive/p_502_aud_502_loop_thoughts_feelings_behaviors.m4a,Awareness of tinnitus can trigger a thought. That thought can change your emotions. Those emotions can shape what you do next. Then that behavior can reinforce the next thought. Reframing gives you an off-ramp in that loop.,Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
73,AUD-502-EXAMPLE,AUD-502-EXAMPLE,Cognitive Reframing,CR-002,Thoughts Feelings Behaviors Example,Example walkthrough,30-60 sec,60,17,OK / check in TTS,audio/cognitive/p_502_aud_502_example_thoughts_feelings_behaviors_exam.m4a,"For example: tinnitus feels loud. The thought is, today is ruined. The feeling is dread. The behavior may be withdrawing, checking, or searching for a quick fix. The new goal is to pause that chain before it takes over the whole day.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
74,AUD-503-SHORTCUT,AUD-503-SHORTCUT,Cognitive Reframing,CR-002,Automatic Shortcuts,Short explainer,15-30 sec,30,12,OK / check in TTS,audio/cognitive/p_503_aud_503_shortcut_automatic_shortcuts.m4a,"Your thoughts use shortcuts all the time. That is normal. The problem is that stress can make those shortcuts too fast and too certain, especially when tinnitus already feels threatening.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Slight adjustment
75,AUD-503-REFLECT,AUD-503-REFLECT,Cognitive Reframing,CR-002,Jumping to Conclusions Reflection,Short explainer,15-30 sec,30,14,OK / check in TTS,audio/cognitive/p_503_aud_503_reflect_jumping_to_conclusions_reflectio.m4a,"Almost everyone has made a decision in the moment, then later realized they jumped too quickly. Cognitive reframing is a way to catch that process earlier, and to recognize the pattern that brought it up. ",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Changed ending.  
76,AUD-504-FACTS,AUD-504-FACTS,Cognitive Reframing,CR-002,Thoughts Are Not Facts,Short explainer,15-30 sec,30,15,OK / check in TTS,audio/cognitive/p_504_aud_504_facts_thoughts_are_not_facts.m4a,"A thought can feel true before it has been checked. In this section, we are not fighting thoughts or pretending they are are inappropriat. We are asking whether they are accurate enough to guide what happens next.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Slight adjustment
77,AUD-506-DT-BRIDGE,AUD-506-DT-BRIDGE,Cognitive Reframing,CR-002,Distress Bridge,Short explainer,15-30 sec,30,15,OK / check in TTS,audio/cognitive/p_506_aud_506_dt_bridge_distress_bridge.m4a,"If distress is high, do not force yourself into a thought worksheet. First use a distress tolerance tool to cool things down. Reframing works better when the tornado has slowed enough for thinking to come back online.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Slight adjustment
78,AUD-507-MIND-BRIDGE,AUD-507-MIND-BRIDGE,Cognitive Reframing,CR-002,Mindfulness Bridge,Short explainer,15-30 sec,30,10,OK / check in TTS,audio/cognitive/p_507_aud_507_mind_bridge_mindfulness_bridge.m4a,"Mindfulness helps you notice the thought before you react to it. Cognitive reframing then asks, is this thought complete, accurate, and useful right now?",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
79,AUD-508-LIBRARY,AUD-508-LIBRARY,Cognitive Reframing,CR-003,Distortion Library,Short explainer,30-60 sec,60,14,OK / check in TTS,audio/cognitive/p_508_aud_508_library_distortion_library.m4a,"Cognitive distortions are common thinking shortcuts. They are not signs that you are doing anything wrong. They are patterns to notice. Once you can name a pattern, it becomes easier to question it.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
80,AUD-508-AON,AUD-508-AON,Cognitive Reframing,CR-003,All-or-Nothing Thinking,Short explainer,15-30 sec,30,14,OK / check in TTS,audio/cognitive/p_508_aud_508_aon_all_or_nothing_thinking.m4a,"All-or-nothing thinking turns a complicated situation into two choices: perfect or ruined. Tinnitus rarely works that way. A difficult sound day does not mean the whole day, week, or future is lost.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
81,AUD-508-OVER,AUD-508-OVER,Cognitive Reframing,CR-003,Overgeneralization,Short explainer,15-30 sec,30,10,OK / check in TTS,audio/cognitive/p_508_aud_508_over_overgeneralization.m4a,Overgeneralization takes one moment and stretches it too far. My tinnitus is loud today does not automatically mean every day will feel this way.,Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
82,AUD-508-FILTER,AUD-508-FILTER,Cognitive Reframing,CR-003,Filtering,Short explainer,15-30 sec,30,10,OK / check in TTS,audio/cognitive/p_508_aud_508_filter_filtering.m4a,Filtering means your mind locks onto the evidence that supports distress and filters out everything else. Reframing asks what else is true too.,Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
83,AUD-508-MINDREAD,AUD-508-MINDREAD,Cognitive Reframing,CR-003,Mind Reading,Short explainer,15-30 sec,30,13,OK / check in TTS,audio/cognitive/p_508_aud_508_mindread_mind_reading.m4a,"Mind reading happens when we assume we know what other people think. With tinnitus, this may sound like, everyone thinks I am overreacting. The first question is: do I actually know that?",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
84,AUD-508-MIN,AUD-508-MIN,Cognitive Reframing,CR-003,Minimizing,Short explainer,15-30 sec,30,10,OK / check in TTS,audio/cognitive/p_508_aud_508_min_minimizing.m4a,"Minimizing downplays progress. If you used sound therapy, breathing, or a better plan, that is not just luck. It is evidence that your choices matter.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good.
85,AUD-508-CATA,AUD-508-CATA,Cognitive Reframing,CR-003,Catastrophizing,Short explainer,15-30 sec,30,14,OK / check in TTS,audio/cognitive/p_508_aud_508_cata_catastrophizing.m4a,Catastrophizing turns a hard moment into a disaster story. The goal is not to deny that the moment is hard. The goal is to stop the story from becoming larger than the evidence.,Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
86,AUD-508-CONTROL,AUD-508-CONTROL,Cognitive Reframing,CR-003,Control Fallacies,Short explainer,15-30 sec,30,16,OK / check in TTS,audio/cognitive/p_508_aud_508_control_control_fallacies.m4a,"Control fallacies make it feel like you have either total control or no control at all. Tinnitus management usually lives in the middle: you may not control every sound moment, but you can influence your response and environment.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
87,AUD-508-REWARD,AUD-508-REWARD,Cognitive Reframing,CR-003,Heaven's Reward Fallacy,Short explainer,15-30 sec,30,15,OK / check in TTS,audio/cognitive/p_508_aud_508_reward_heaven_s_reward_fallacy.m4a,Heaven’s reward fallacy is thinking that our struggle is justified just from it being a struggle. Suffering harder does not make tinnitus improve faster. A more useful question is: what action actually supports me today?,Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Adjusted
88,AUD-508-LABEL,AUD-508-LABEL,Cognitive Reframing,CR-003,Labeling,Short explainer,15-30 sec,30,9,OK / check in TTS,audio/cognitive/p_508_aud_508_label_labeling.m4a,Labeling turns a struggle into an identity. I am having a hard tinnitus day is very different from I am a failure.,Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
89,AUD-508-PERSON,AUD-508-PERSON,Cognitive Reframing,CR-003,Personalization,Short explainer,15-30 sec,30,9,OK / check in TTS,audio/cognitive/p_508_aud_508_person_personalization.m4a,"Personalization puts all the blame on you, even when the situation is more complicated. Reframing helps separate responsibility from self-attack.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
90,AUD-509-LOUD-MORNING,AUD-509-LOUD-MORNING,Cognitive Reframing,CR-004,Loud Morning Example,Example walkthrough,60-90 sec,90,27,OK / check in TTS,audio/cognitive/p_509_aud_509_loud_morning_loud_morning_example.m4a,"Let's try one example. The thought is: my tinnitus is loud this morning, so today will be terrible. That thought feels understandable, but is it guaranteed? Have you ever had loud tinnitus and still had a meaningful or even decent day? A more balanced statement might be: this morning is difficult, and I can still use my tools and see how the day unfolds.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Great
91,AUD-510-DISTORTION-DETECTIVE,AUD-510-DISTORTION-DETECTIVE,Cognitive Reframing,CR-005,Distortion Detective,Exercise walkthrough,60-90 sec,90,16,OK / check in TTS,audio/cognitive/p_510_aud_510_distortion_detective_distortion_detective.m4a,"Write the distressing thought as clearly as you can. Then choose the thought pattern that seems closest. Next, list what supports the thought and what contradicts it. Finally, write a more balanced way to look at the situation.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
92,AUD-510-LABEL,AUD-510-LABEL,Cognitive Reframing,CR-005,Name the Distortion,Short explainer,15-30 sec,30,11,OK / check in TTS,audio/cognitive/p_510_aud_510_label_name_the_distortion.m4a,"You do not have to pick the perfect label. Choose the closest pattern, or create your own name for it. The purpose is distance, not perfection.",Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
93,AUD-510-EVIDENCE,AUD-510-EVIDENCE,Cognitive Reframing,CR-005,Exercise 10 Evidence,Short explainer,15-30 sec,30,9,OK / check in TTS,audio/cognitive/p_510_aud_510_evidence_exercise_10_evidence.m4a,Evidence for and evidence against help the thought become testable. A thought can be partly true without being the whole story.,Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Good
94,AUD-510-BALANCED,AUD-510-BALANCED,Cognitive Reframing,CR-005,Exercise 10 Balanced Thought,Short explainer,15-30 sec,30,11,OK / check in TTS,audio/cognitive/p_510_aud_510_balanced_exercise_10_balanced_thought.m4a,The balanced thought should feel realistic enough to believe. It does not need to be cheerful. It needs to be more accurate than the original thought.,Yes,Collapsed by default; Play and Transcript buttons are separate.,Page narration / practice; global mini-player controls active while audio plays.,Yes,V10 approved edited script,Ready for TTS,Record / generate,Not generated,Not checked,Placeholder path; file not yet supplied,Slight adjustment.  
