loop,section_order,section_type,section_header,education_text,audio_segment_id,audio_transcript,target_audio_length,estimated_audio_length,audio_word_count,default_state,integrated_visual_tool,linked_practice_exercise,safety_scope_note,sync_source
Acceptance and Change,3,Expanded,Pause and reflect: what happened last time?,"Think about a recent moment when tinnitus made you angry, upset, or tense. What did you do to handle that feeling? Did your response lower the stress, or did it keep the struggle going?

Now ask one small question: if I had accepted that tinnitus was present in that moment, stoping the fight against it without liking it or approving of it, what might have felt different?",ACPT-V5-003,"Think about a recent moment when tinnitus made you angry, upset, or tense. What did you do to handle that feeling? Did your response lower the stress, or did it keep the struggle going?

Now ask one small question: if I had accepted that tinnitus was present in that moment, stoping the fight against it without liking it or approving of it, what might have felt different?",20-45 sec,20-45 sec,67,Expanded,,NEW/ADD: Pause & Reflect — What would acceptance change?,,Edited Education Text -> Audio Transcript
Acceptance and Change,4,Expanded,Acceptance means noticing what is here,"Acceptance means allowing yourself to notice that tinnitus is present without spending all your energy trying to erase it. It does not mean you like tinnitus. It does not mean you want it to stay. It does not mean you believe nothing can improve.

It means you are starting from reality: tinnitus is here right now, and the next useful step probably will not come from arguing with that fact.",ACPT-V5-004,"Acceptance means allowing yourself to notice that tinnitus is present without spending all your energy trying to erase it. It does not mean you like tinnitus. It does not mean you want it to stay. It does not mean you believe nothing can improve.

It means you are starting from reality: tinnitus is here right now, and the next useful step probably will not come from arguing with that fact.",20-45 sec,20-45 sec,70,Expanded,,,,Current Education Text -> Audio Transcript
Acceptance and Change,5,Expanded,Change means acting where you have influence,"Change means taking active steps to improve your life and reduce distress. That might mean using sound therapy, asking for support, practicing mindfulness, communicating a need, or returning to an activity tinnitus has pushed aside.

Change does not have to mean forcing tinnitus to disappear. It can mean making today more workable, your environment more supportive, and your reactions less controlled by the sound.",ACPT-V5-005,"Change means taking active steps to improve your life and reduce distress. That might mean using sound therapy, asking for support, practicing mindfulness, communicating a need, or returning to an activity tinnitus has pushed aside.

Change does not have to mean forcing tinnitus to disappear. It can mean making today more workable, your environment more supportive, and your reactions less controlled by the sound.",20-45 sec,20-45 sec,64,Expanded,,,,Current Education Text -> Audio Transcript
Acceptance and Change,6,Expanded,Acceptance is not resignation,"Many people hear the word acceptance and think it means throwing in the towel. That is not what we mean here.

Resignation says, “Nothing can change, so why try?” Acceptance says, “This is the situation I am in right now, and I can still choose the next useful step.” Acceptance is active. It helps you stop fighting the impossible in this moment so you can put effort into something that may actually help.",ACPT-V5-006,"Many people hear the word acceptance and think it means throwing in the towel. That is not what we mean here.

Resignation says, “Nothing can change, so why try?” Acceptance says, “This is the situation I am in right now, and I can still choose the next useful step.” Acceptance is active. It helps you stop fighting the impossible in this moment so you can put effort into something that may actually help.",20-45 sec,20-45 sec,73,Expanded,Optional simple contrast card: Resignation vs Acceptance,,,Current Education Text -> Audio Transcript
Acceptance and Change,7,Expanded,Why trying only to eliminate tinnitus can backfire,"At the beginning, many people put all their energy into making tinnitus vanish. They may avoid quiet places, stop doing things they enjoy, search constantly for cures, or feel crushed whenever a treatment does not work right away.

Those reactions are understandable. But when your whole life becomes organized around eliminating tinnitus, tinnitus can become even more central. The struggle itself starts taking up the space that your routines, relationships, hobbies, and rest used to occupy.",ACPT-V5-007,"At the beginning, many people put all their energy into making tinnitus vanish. They may avoid quiet places, stop doing things they enjoy, search constantly for cures, or feel crushed whenever a treatment does not work right away.

Those reactions are understandable. But when your whole life becomes organized around eliminating tinnitus, tinnitus can become even more central. The struggle itself starts taking up the space that your routines, relationships, hobbies, and rest used to occupy.",60-90 sec,20-45 sec,76,Expanded,,,,Current Education Text -> Audio Transcript
Acceptance and Change,8,Expanded,Avoidance can make life smaller,"Avoidance can bring short-term relief. Masking tinnitus fully, leaving a quiet room, canceling plans, or checking the internet again may feel like it lowers distress for a moment. The problem is that avoidance can also teach the brain that tinnitus is something you cannot face.

Over time, the world may get smaller. Acceptance helps reverse that pattern by asking, “What can I allow for this moment, and what useful action can I take anyway?”",ACPT-V5-008,"Avoidance can bring short-term relief. Masking tinnitus fully, leaving a quiet room, canceling plans, or checking the internet again may feel like it lowers distress for a moment. The problem is that avoidance can also teach the brain that tinnitus is something you cannot face.

Over time, the world may get smaller. Acceptance helps reverse that pattern by asking, “What can I allow for this moment, and what useful action can I take anyway?”",20-45 sec,20-45 sec,74,Expanded,,,,Edited Education Text -> Audio Transcript
Acceptance and Change,9,Expanded,Sound therapy shows acceptance and change together,"Sound therapy is a good example of acceptance and change working together. If you use sound only to cover tinnitus completely all day, the purpose becomes escape. That may help briefly, but it can also keep the brain from learning that tinnitus is safe enough to tune out.

When sound therapy is set in the middle volume range, where you can hear the support sound and may still notice tinnitus, you are accepting enough of the sound for the brain to learn while still changing the environment to make it easier to tolerate.",ACPT-V5-009,"Sound therapy is a good example of acceptance and change working together. If you use sound only to cover tinnitus completely all day, the purpose becomes escape. That may help briefly, but it can also keep the brain from learning that tinnitus is safe enough to tune out.

When sound therapy is set in the middle volume range, where you can hear the support sound and may still notice tinnitus, you are accepting enough of the sound for the brain to learn while still changing the environment to make it easier to tolerate.",60-90 sec,20-45 sec,93,Expanded,Sound Therapy Sweet Spot / thermometer,Sound Therapy Sweet Spot Reflection,,Edited Education Text -> Audio Transcript
Acceptance and Change,10,Expanded,The Yes AND mindset,"The Yes AND mindset comes from the idea that two truths can exist at the same time. You can acknowledge tinnitus honestly and still take a useful next step.

For example: “Yes, my tinnitus is tough today, and I can use a gentle background sound while I get ready.” Or, “Yes, I wish this were different, and I can still go to dinner with friends.” The first half is acceptance. The second half is change.",ACPT-V5-010,"The Yes AND mindset comes from the idea that two truths can exist at the same time. You can acknowledge tinnitus honestly and still take a useful next step.

For example: “Yes, my tinnitus is tough today, and I can use a gentle background sound while I get ready.” Or, “Yes, I wish this were different, and I can still go to dinner with friends.” The first half is acceptance. The second half is change.",20-45 sec,20-45 sec,75,Expanded,,Yes AND Builder,,Current Education Text -> Audio Transcript
Acceptance and Change,11,Expanded,Two truths can sit next to each other,"Without this kind of both-and thinking, tinnitus can push you toward all-or-nothing choices: either I fix this completely, or my life is ruined. That trap is exhausting.

A more balanced view says: tinnitus can be present, and I can still take care of myself. I can dislike this sound, and I can still choose something meaningful. I can want improvement, and I can stop demanding that everything change before I live my life.",ACPT-V5-011,"Without this kind of both-and thinking, tinnitus can push you toward all-or-nothing choices: either I fix this completely, or my life is ruined. That trap is exhausting.

A more balanced view says: tinnitus can be present, and I can still take care of myself. I can dislike this sound, and I can still choose something meaningful. I can want improvement, and I can stop demanding that everything change before I live my life.",20-45 sec,20-45 sec,73,Expanded,Optional simple 'Yes / AND' split-card,,,Current Education Text -> Audio Transcript
Acceptance and Change,12,Expanded,The tug-of-war with tinnitus,"Imagine tinnitus on the other side of a rope in a tug of war. You pull harder and harder, trying to win. But the more you pull, the more tired and stuck you become.

Pulling the rope might look like masking tinnitus every moment, avoiding quiet places, arguing with the sound in your mind, or searching for answers long after the search has stopped helping. The question is not whether those reactions make sense. They do, and are reasonable things to do at first. The question is whether staying in the tug-of-war is giving you your life back.",ACPT-V5-012,"Imagine tinnitus on the other side of a rope in a tug of war. You pull harder and harder, trying to win. But the more you pull, the more tired and stuck you become.

Pulling the rope might look like masking tinnitus every moment, avoiding quiet places, arguing with the sound in your mind, or searching for answers long after the search has stopped helping. The question is not whether those reactions make sense. They do, and are reasonable things to do at first. The question is whether staying in the tug-of-war is giving you your life back.",60-90 sec,20-45 sec,98,Expanded,Tug-of-War visual/helper,Tug-of-War Reflection,,Edited Education Text -> Audio Transcript
Acceptance and Change,13,Expanded,What would dropping the rope mean?,"Dropping the rope does not mean tinnitus wins. It does not mean you like tinnitus or accept that nothing can improve. It means you stop spending this moment on a fight that is not helping.

When you drop the rope, even briefly, you may have more energy for something else: using a coping tool, changing the room, resting, connecting with someone, or returning to an activity that matters.",ACPT-V5-013,"Dropping the rope does not mean tinnitus wins. It does not mean you like tinnitus or accept that nothing can improve. It means you stop spending this moment on a fight that is not helping.

When you drop the rope, even briefly, you may have more energy for something else: using a coping tool, changing the room, resting, connecting with someone, or returning to an activity that matters.",20-45 sec,20-45 sec,68,Expanded,Tug-of-War visual/helper,Tug-of-War Reflection,,Current Education Text -> Audio Transcript
Acceptance and Change,14,Collapsed,Important term: acceptance,"Acceptance means embracing the present experience without spending all your energy suppressing it, fighting it, or denying it. It acknowledges what you cannot fully change right now and frees mental energy for more constructive actions.",ACPT-V5-014,"Acceptance means embracing the present experience without spending all your energy suppressing it, fighting it, or denying it. It acknowledges what you cannot fully change right now and frees mental energy for more constructive actions.",20-45 sec,<20 sec,35,Collapsed,,,,Current Education Text -> Audio Transcript
Acceptance and Change,15,Collapsed,Important term: change,"Change means taking active steps to enhance your well-being. That may include coping tools, goals, problem-solving, sound therapy, communication, or daily routines. Change focuses on what can improve, even when tinnitus is still present.",ACPT-V5-015,"Change means taking active steps to enhance your well-being. That may include coping tools, goals, problem-solving, sound therapy, communication, or daily routines. Change focuses on what can improve, even when tinnitus is still present.",20-45 sec,<20 sec,34,Collapsed,,,,Current Education Text -> Audio Transcript
Acceptance and Change,16,Collapsed,Important term: dialectical thinking,"Dialectical thinking means holding two truths at the same time. In tinnitus management, that might sound like: “Yes, I have tinnitus, and yes, I can still live a fulfilling life.” This reduces all-or-nothing thinking and supports balanced decisions.",ACPT-V5-016,"Dialectical thinking means holding two truths at the same time. In tinnitus management, that might sound like: “Yes, I have tinnitus, and yes, I can still live a fulfilling life.” This reduces all-or-nothing thinking and supports balanced decisions.",20-45 sec,<20 sec,38,Collapsed,,,,Current Education Text -> Audio Transcript
Acceptance and Change,17,Collapsed,Important term: experiential avoidance,"Experiential avoidance means trying to escape uncomfortable thoughts, feelings, sensations, or situations in ways that bring short-term relief but may increase distress over time. With tinnitus, avoidance can sometimes make life smaller and tinnitus more powerful.",ACPT-V5-017,"Experiential avoidance means trying to escape uncomfortable thoughts, feelings, sensations, or situations in ways that bring short-term relief but may increase distress over time. With tinnitus, avoidance can sometimes make life smaller and tinnitus more powerful.",20-45 sec,<20 sec,36,Collapsed,,,,Current Education Text -> Audio Transcript
Acceptance and Change,18,Expanded,Step one: notice the fight,"Taking acceptance and change into real life begins with noticing when you are locked in battle. Are you telling yourself, “I will only be okay when this goes away”? Are you organizing the day around avoiding tinnitus?

You do not need to judge yourself for that reaction. The goal is to recognize the pattern early enough to choose something different.",ACPT-V5-018,"Taking acceptance and change into real life begins with noticing when you are locked in battle. Are you telling yourself, “I will only be okay when this goes away”? Are you organizing the day around avoiding tinnitus?

You do not need to judge yourself for that reaction. The goal is to recognize the pattern early enough to choose something different.",20-45 sec,20-45 sec,60,Expanded,,Pause & Reflect / Tug-of-War Reflection,,Current Education Text -> Audio Transcript
Acceptance and Change,19,Expanded,Step two: choose one useful action,"Once you notice the fight, ask what action would actually support you. That might be using sound therapy, taking one breath, asking for help, stepping away from an internet search, or rejoining something you care about.

This is where Yes AND becomes practical: “Yes, this is hard, and I can still do one thing that helps.”",ACPT-V5-019,"Once you notice the fight, ask what action would actually support you. That might be using sound therapy, taking one breath, asking for help, stepping away from an internet search, or rejoining something you care about.

This is where Yes AND becomes practical: “Yes, this is hard, and I can still do one thing that helps.”",20-45 sec,20-45 sec,56,Expanded,,Yes AND Builder,,Current Education Text -> Audio Transcript
Acceptance and Change,20,Expanded,Reconnecting with what matters,"When tinnitus feels overwhelming, it can shrink your world. You may avoid hobbies, social opportunities, music, work tasks, quiet rooms, or routines that used to matter.

The values-driven action plan asks you to name one meaningful activity tinnitus has affected and choose one small step back toward it. You do not need to solve everything first. Re-engagement can begin with one realistic action.",ACPT-V5-020,"When tinnitus feels overwhelming, it can shrink your world. You may avoid hobbies, social opportunities, music, work tasks, quiet rooms, or routines that used to matter.

The values-driven action plan asks you to name one meaningful activity tinnitus has affected and choose one small step back toward it. You do not need to solve everything first. Re-engagement can begin with one realistic action.",20-45 sec,20-45 sec,63,Expanded,,Reconnection with What Matters / Values Driven Action Plan,,Edited Education Text -> Audio Transcript
Acceptance and Change,21,Expanded,Why this mindset supports the rest of the app,"Acceptance and change are woven through the rest of tinnitus management. Sound therapy works better when it is not just escape. Mindfulness becomes more approachable when you are not using it as a test of silence. Cognitive reframing is easier when you can pause long enough to question a thought.

By accepting what you cannot instantly fix, you free energy for the parts of life you can influence: routines, stress, sleep, communication, attention, and meaningful activity.",ACPT-V5-021,"Acceptance and change are woven through the rest of tinnitus management. Sound therapy works better when it is not just escape. Mindfulness becomes more approachable when you are not using it as a test of silence. Cognitive reframing is easier when you can pause long enough to question a thought.

By accepting what you cannot instantly fix, you free energy for the parts of life you can influence: routines, stress, sleep, communication, attention, and meaningful activity.",60-90 sec,20-45 sec,76,Expanded,"Optional connection map to Sound Therapy, Mindfulness, Cognitive Reframing",,,Current Education Text -> Audio Transcript
Acceptance and Change,22,Collapsed,FAQ: Is acceptance the same as doing nothing?,"No. Acceptance is not passive. It means you acknowledge what you cannot fully control in this moment and shift attention toward what you can do. That might mean using sound therapy, practicing a skill, asking for support, or choosing an activity that matters.",ACPT-V5-022,"No. Acceptance is not passive. It means you acknowledge what you cannot fully control in this moment and shift attention toward what you can do. That might mean using sound therapy, practicing a skill, asking for support, or choosing an activity that matters.",20-45 sec,<20 sec,43,Collapsed,,,,Current Education Text -> Audio Transcript
Acceptance and Change,23,Collapsed,"FAQ: If I stop trying to fix tinnitus, won’t it get worse?","Usually, constant fixing and checking can make tinnitus feel bigger because it keeps the sound at the center of attention. Acceptance does not mean you stop caring. It means you stop letting tinnitus consume every moment while you continue using tools that support you.",ACPT-V5-023,"Usually, constant fixing and checking can make tinnitus feel bigger because it keeps the sound at the center of attention. Acceptance does not mean you stop caring. It means you stop letting tinnitus consume every moment while you continue using tools that support you.",20-45 sec,<20 sec,44,Collapsed,,,,Current Education Text -> Audio Transcript
Acceptance and Change,24,Collapsed,FAQ: Does acceptance mean I am stuck with tinnitus forever?,No. Acceptance does not predict the future. It means your life does not have to stay on hold until tinnitus changes. You can stay open to new treatments or strategies while still taking care of your life today.,ACPT-V5-024,No. Acceptance does not predict the future. It means your life does not have to stay on hold until tinnitus changes. You can stay open to new treatments or strategies while still taking care of your life today.,20-45 sec,<20 sec,38,Collapsed,,,,Current Education Text -> Audio Transcript
Acceptance and Change,25,Collapsed,FAQ: How can I accept tinnitus when it feels overwhelming?,"Start small. Acceptance may begin with one breath, one moment of noticing, or one choice not to react immediately. If the moment is too intense, use a distress tolerance skill first, then come back to acceptance when your mind has more room.",ACPT-V5-025,"Start small. Acceptance may begin with one breath, one moment of noticing, or one choice not to react immediately. If the moment is too intense, use a distress tolerance skill first, then come back to acceptance when your mind has more room.",20-45 sec,<20 sec,42,Collapsed,,Deep Breath Check-In / Distress Tolerance tools,,Current Education Text -> Audio Transcript
Acceptance and Change,26,Expanded,Practice: Yes AND,"In this exercise, write three honest frustrations about tinnitus. For each one, begin with “Yes,” and name the frustration without softening it. Then add “AND,” followed by one action you can take.

For example: “Yes, tinnitus is louder at night, and I can use the relaxing rain sound I like while I wind down.” Notice how the sentence holds both acceptance and change.",ACPT-V5-026,"In this exercise, write three honest frustrations about tinnitus. For each one, begin with “Yes,” and name the frustration without softening it. Then add “AND,” followed by one action you can take.

For example: “Yes, tinnitus is louder at night, and I can use the relaxing rain sound I like while I wind down.” Notice how the sentence holds both acceptance and change.",20-45 sec,20-45 sec,63,Expanded,,Yes AND Builder,,Current Education Text -> Audio Transcript
Acceptance and Change,27,Expanded,Practice: Reconnection with What Matters,"Choose one activity, routine, relationship, or value that tinnitus has affected. Then list small steps that could help you move toward it again.

The point is not to force yourself back all at once. It is to find the lowest-hanging fruit: one concrete step this week that reconnects you with something meaningful.",ACPT-V5-027,"Choose one activity, routine, relationship, or value that tinnitus has affected. Then list small steps that could help you move toward it again.

The point is not to force yourself back all at once. It is to find the lowest-hanging fruit: one concrete step this week that reconnects you with something meaningful.",20-45 sec,20-45 sec,52,Expanded,,Reconnection with What Matters / Values Driven Action Plan,,Current Education Text -> Audio Transcript
Acceptance and Change,28,Expanded,Main points,"Acceptance does not mean you are okay with tinnitus. It means you stop spending all your energy on a fight you cannot win by force.

Change focuses on what you can influence: your sound environment, habits, attention, communication, self-talk, and daily choices. Yes AND is a simple way to combine acceptance and action. Reducing avoidance can lower stress and free energy for meaningful life.",ACPT-V5-028,"Acceptance does not mean you are okay with tinnitus. It means you stop spending all your energy on a fight you cannot win by force.

Change focuses on what you can influence: your sound environment, habits, attention, communication, self-talk, and daily choices. Yes AND is a simple way to combine acceptance and action. Reducing avoidance can lower stress and free energy for meaningful life.",20-45 sec,20-45 sec,64,Expanded,,,,Edited Education Text -> Audio Transcript
Acceptance and Change,29,Expanded,Before you move on,"Before you leave this section, write down one small way you can use acceptance as a starting point for change. You might also write a reminder to be patient with yourself as you practice.

This is not a skill you master all at once. It is something you return to each time tinnitus starts pulling you back into the fight.",ACPT-V5-029,"Before you leave this section, write down one small way you can use acceptance as a starting point for change. You might also write a reminder to be patient with yourself as you practice.

This is not a skill you master all at once. It is something you return to each time tinnitus starts pulling you back into the fight.",20-45 sec,20-45 sec,60,Expanded,,Final Acceptance Reminder / optional journal prompt,,Current Education Text -> Audio Transcript
Acceptance and Change,30,Collapsed,Scope and safety,"This section teaches educational skills for working with tinnitus-related distress. It is not a substitute for medical care, hearing healthcare, mental health care, or crisis support.

If you feel unsafe, are in a mental health crisis, or are worried you may harm yourself or someone else, do not rely on this app. Seek immediate help from emergency services, crisis resources, or a qualified professional.",ACPT-V5-030,"This section teaches educational skills for working with tinnitus-related distress. It is not a substitute for medical care, hearing healthcare, mental health care, or crisis support.

If you feel unsafe, are in a mental health crisis, or are worried you may harm yourself or someone else, do not rely on this app. Seek immediate help from emergency services, crisis resources, or a qualified professional.",20-45 sec,20-45 sec,64,Collapsed,,,Mental health crisis boundary; direct care if unsafe.,Current Education Text -> Audio Transcript
Mindfulness,1,Expanded,Mindfulness: finding calm in the present moment,"Mindfulness means learning to notice what is happening right now without immediately fighting it, avoiding it, or judging it. For tinnitus, this does not mean liking the ringing or pretending it is pleasant. It means practicing the ability to notice tinnitus as one part of the moment, alongside your breath, body, thoughts, emotions, and the sounds around you.",AUD-MF-V5-001,"Mindfulness means learning to notice what is happening right now without immediately fighting it, avoiding it, or judging it. For tinnitus, this does not mean liking the ringing or pretending it is pleasant. It means practicing the ability to notice tinnitus as one part of the moment, alongside your breath, body, thoughts, emotions, and the sounds around you.",20-30 sec,20-45 sec,58,Expanded,Header card; optional mindfulness icon,,,Current Education Text -> Audio Transcript
Mindfulness,2,Expanded,What you will practice in this section,"In this section, you will learn what mindfulness is, how it differs from simple relaxation, and why it can be useful when tinnitus feels intrusive. You will practice noticing tinnitus without panic or avoidance, using present-moment awareness to interrupt thought spirals, and combining mindfulness with sound therapy, acceptance, and cognitive tools.",AUD-MF-V5-002,"In this section, you will learn what mindfulness is, how it differs from simple relaxation, and why it can be useful when tinnitus feels intrusive. You will practice noticing tinnitus without panic or avoidance, using present-moment awareness to interrupt thought spirals, and combining mindfulness with sound therapy, acceptance, and cognitive tools.",20-30 sec,20-45 sec,51,Expanded,Learning objectives card,,,Current Education Text -> Audio Transcript
Mindfulness,3,Expanded,What mindfulness means for tinnitus,"Mindfulness is the practice of being fully present with your experiences, including thoughts, feelings, sensations, and sounds, without trying to push away discomfort or cling tightly to comfort. With tinnitus, this means gently noticing the ringing, buzzing, or hissing while also noticing the rest of the room, the body, the breath, and the activity you are doing. The skill is not to force tinnitus away. The skill is to widen attention so tinnitus is no longer the only thing your mind is holding.",AUD-MF-V5-003,"Mindfulness is the practice of being fully present with your experiences, including thoughts, feelings, sensations, and sounds, without trying to push away discomfort or cling tightly to comfort. With tinnitus, this means gently noticing the ringing, buzzing, or hissing while also noticing the rest of the room, the body, the breath, and the activity you are doing. The skill is not to force tinnitus away. The skill is to widen attention so tinnitus is no longer the only thing your mind is holding.",30-45 sec,20-45 sec,83,Expanded,Attention field visual / simple expanding awareness graphic,Mindful Listening; Sound Shifting,,Current Education Text -> Audio Transcript
Mindfulness,4,Expanded,You do not have to like the ringing,"A key idea in this section is that you do not have to like tinnitus for mindfulness to help. You are not trying to convince yourself that the sound is pleasant. You are practicing a less combative way of noticing it. When the mind stops treating tinnitus as an emergency every time it appears, the sound can begin to lose some of its emotional force.",AUD-MF-V5-004,"A key idea in this section is that you do not have to like tinnitus for mindfulness to help. You are not trying to convince yourself that the sound is pleasant. You are practicing a less combative way of noticing it. When the mind stops treating tinnitus as an emergency every time it appears, the sound can begin to lose some of its emotional force.",20-30 sec,20-45 sec,65,Expanded,Key idea callout,,,Current Education Text -> Audio Transcript
Mindfulness,5,Expanded,Mindfulness is not forced silence,"Many people assume mindfulness means sitting silently for a long time and focusing on tinnitus. That misunderstanding can make mindfulness feel impossible. In this app, mindfulness is much broader. It can be one breath before you check your phone, a minute of noticing sounds during a walk, or a short pause while holding a warm drink. Silence is not required. Everyday sounds can become anchors for awareness.",AUD-MF-V5-005,"Many people assume mindfulness means sitting silently for a long time and focusing on tinnitus. That misunderstanding can make mindfulness feel impossible. In this app, mindfulness is much broader. It can be one breath before you check your phone, a minute of noticing sounds during a walk, or a short pause while holding a warm drink. Silence is not required. Everyday sounds can become anchors for awareness.",20-30 sec,20-45 sec,67,Expanded,Misconception card; optional audio callout,Deep Breath Check-In; 3-2-1 Senses,,Current Education Text -> Audio Transcript
Mindfulness,6,Expanded,Mindfulness is not the same as relaxation,"Mindfulness and relaxation often overlap, but they are not the same thing. Relaxation focuses on feeling calmer. Mindfulness focuses on noticing what is here with more steadiness and less judgment. Sometimes mindfulness will help you feel relaxed. Other times, it simply helps you notice stress, tinnitus, or frustration without reacting as quickly.",AUD-MF-V5-006,"Mindfulness and relaxation often overlap, but they are not the same thing. Relaxation focuses on feeling calmer. Mindfulness focuses on noticing what is here with more steadiness and less judgment. Sometimes mindfulness will help you feel relaxed. Other times, it simply helps you notice stress, tinnitus, or frustration without reacting as quickly.",20-30 sec,20-45 sec,52,Expanded,What it is / what it is not card,,,Current Education Text -> Audio Transcript
Mindfulness,7,Expanded,Neutral observation and non-judgment,"When tinnitus appears, the mind may quickly label it as awful, unbearable, or a sign that the day is ruined. Mindfulness gives you a different option: notice the sound and notice the reaction to the sound. You might silently label it, “ringing,” “thought,” or “frustration.” This does not erase tinnitus, but it creates a small pause between the sound and the reaction.",AUD-MF-V5-007,"When tinnitus appears, the mind may quickly label it as awful, unbearable, or a sign that the day is ruined. Mindfulness gives you a different option: notice the sound and notice the reaction to the sound. You might silently label it, “ringing,” “thought,” or “frustration.” This does not erase tinnitus, but it creates a small pause between the sound and the reaction.",20-30 sec,20-45 sec,62,Expanded,Labeling thought/sensation visual; small tag chips,Mindful Listening; Sound Shifting,,Current Education Text -> Audio Transcript
Mindfulness,8,Expanded,Why non-judgment lowers reactivity,"Tinnitus often becomes more distressing when the sound is paired with alarm, fear, self-blame, or catastrophic thoughts. Mindfulness-based approaches help by lowering emotional reactivity. Instead of automatically moving from “I hear tinnitus” to “I can’t stand this,” you practice noticing the sound, taking a breath, and letting the moment be larger than the tinnitus alone.",AUD-MF-V5-008,"Tinnitus often becomes more distressing when the sound is paired with alarm, fear, self-blame, or catastrophic thoughts. Mindfulness-based approaches help by lowering emotional reactivity. Instead of automatically moving from “I hear tinnitus” to “I can’t stand this,” you practice noticing the sound, taking a breath, and letting the moment be larger than the tinnitus alone.",20-30 sec,20-45 sec,55,Expanded,Body/Mind/Life mini-bridge; reactivity arrow visual,Deep Breath Check-In,,Current Education Text -> Audio Transcript
Mindfulness,9,Expanded,Mindfulness can work with sound therapy,"Sound therapy can make mindfulness more accessible. Gentle background sound gives your attention something neutral to notice, especially when silence makes tinnitus feel too sharp. Mindfulness then helps you use sound therapy without making it another form of panic or avoidance. Together, they support the same goal: helping tinnitus become less dominant in your awareness.",AUD-MF-V5-009,"Sound therapy can make mindfulness more accessible. Gentle background sound gives your attention something neutral to notice, especially when silence makes tinnitus feel too sharp. Mindfulness then helps you use sound therapy without making it another form of panic or avoidance. Together, they support the same goal: helping tinnitus become less dominant in your awareness.",20-30 sec,20-45 sec,55,Expanded,Bridge card to Sound Therapy Annex / Thermometer,Mindful Listening; Sound Shifting,,Current Education Text -> Audio Transcript
Mindfulness,10,Expanded,Mindfulness supports acceptance,"The acceptance section focused on dropping the struggle long enough to choose a useful next step. Mindfulness is how you practice that in real time. When you become aware of tinnitus, you can notice it, feel the urge to fight it, and choose where your attention goes next. This is not passive. It is active training in how you respond.",AUD-MF-V5-010,"The acceptance section focused on dropping the struggle long enough to choose a useful next step. Mindfulness is how you practice that in real time. When you become aware of tinnitus, you can notice it, feel the urge to fight it, and choose where your attention goes next. This is not passive. It is active training in how you respond.",20-30 sec,20-45 sec,60,Expanded,Bridge card to Acceptance and Change,Yes AND; Sound Shifting,,Edited Education Text -> Audio Transcript
Mindfulness,11,Expanded,Mini-practice: 3-2-1 senses,"The 3-2-1 senses practice is a simple way to widen attention. Look around and name three things you can see. Then identify two sounds or auditory sensations you can notice. Finally, notice one physical sensation, such as your feet on the floor or clothing against your skin. Pause for a moment afterward and ask whether your awareness or mood shifted.",AUD-MF-V5-011,"The 3-2-1 senses practice is a simple way to widen attention. Look around and name three things you can see. Then identify two sounds or auditory sensations you can notice. Finally, notice one physical sensation, such as your feet on the floor or clothing against your skin. Pause for a moment afterward and ask whether your awareness or mood shifted.",20-30 sec,20-45 sec,60,Expanded,3-2-1 senses card / simple numbered visual,3-2-1 Senses,,Edited Education Text -> Audio Transcript
Mindfulness,12,Collapsed,Important terms,"Mindfulness means paying attention, on purpose, to the present moment without judging what you notice as good or bad. Present-moment awareness means focusing on right now instead of replaying past difficult moments or jumping into future what-ifs. Non-judgment means approaching the experience with openness rather than immediately labeling it awful, unbearable, or your fault.",AUD-MF-V5-012,"Mindfulness means paying attention, on purpose, to the present moment without judging what you notice as good or bad. Present-moment awareness means focusing on right now instead of replaying past difficult moments or jumping into future what-ifs. Non-judgment means approaching the experience with openness rather than immediately labeling it awful, unbearable, or your fault.",20-30 sec,20-45 sec,54,Collapsed,Terms drawer,,,Current Education Text -> Audio Transcript
Mindfulness,13,Expanded,Putting mindfulness into daily life,"Mindfulness does not need to be saved for a special meditation session. You can practice it in small moments: before checking your phone, while sitting down, while walking, or when tinnitus first grabs your attention. If tinnitus appears, acknowledge it gently: “I hear that ringing.” Then expand attention to the body, the room, the breath, or the activity in front of you.",AUD-MF-V5-013,"Mindfulness does not need to be saved for a special meditation session. You can practice it in small moments: before checking your phone, while sitting down, while walking, or when tinnitus first grabs your attention. If tinnitus appears, acknowledge it gently: “I hear that ringing.” Then expand attention to the body, the room, the breath, or the activity in front of you.",20-30 sec,20-45 sec,62,Expanded,Daily practice card,Deep Breath Check-In; Mindful Listening,,Current Education Text -> Audio Transcript
Mindfulness,14,Expanded,Responding instead of reacting,"A mindful pause gives you a moment to respond rather than react. That pause may be one breath, one label, or one shift of attention. The goal is not to make tinnitus disappear in that moment. The goal is to keep the sound from automatically deciding your mood, your behavior, or the next hour of your day.",AUD-MF-V5-014,"A mindful pause gives you a moment to respond rather than react. That pause may be one breath, one label, or one shift of attention. The goal is not to make tinnitus disappear in that moment. The goal is to keep the sound from automatically deciding your mood, your behavior, or the next hour of your day.",20-30 sec,20-45 sec,57,Expanded,Pause button visual / breathing pacer link,Deep Breath Check-In; STOP,,Current Education Text -> Audio Transcript
