loop,queue_order,section_header,audio_segment_id,audio_label,audio_transcript,target_audio_length,estimated_audio_length,audio_word_count,playback_behavior,default_state,sync_source
Acceptance and Change,13,What would dropping the rope mean?,ACPT-V5-013,What would dropping the rope mean?,"Dropping the rope does not mean tinnitus wins. It does not mean you like tinnitus or accept that nothing can improve. It means you stop spending this moment on a fight that is not helping.

When you drop the rope, even briefly, you may have more energy for something else: using a coping tool, changing the room, resting, connecting with someone, or returning to an activity that matters.",20-45 sec,20-45 sec,68,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Acceptance and Change,14,Important term: acceptance,ACPT-V5-014,Important term: acceptance,"Acceptance means embracing the present experience without spending all your energy suppressing it, fighting it, or denying it. It acknowledges what you cannot fully change right now and frees mental energy for more constructive actions.",20-45 sec,<20 sec,35,Manual next; stop at end. Autoplay optional in settings and default off.,Collapsed,Current Education Text -> Audio Transcript
Acceptance and Change,15,Important term: change,ACPT-V5-015,Important term: change,"Change means taking active steps to enhance your well-being. That may include coping tools, goals, problem-solving, sound therapy, communication, or daily routines. Change focuses on what can improve, even when tinnitus is still present.",20-45 sec,<20 sec,34,Manual next; stop at end. Autoplay optional in settings and default off.,Collapsed,Current Education Text -> Audio Transcript
Acceptance and Change,16,Important term: dialectical thinking,ACPT-V5-016,Important term: dialectical thinking,"Dialectical thinking means holding two truths at the same time. In tinnitus management, that might sound like: “Yes, I have tinnitus, and yes, I can still live a fulfilling life.” This reduces all-or-nothing thinking and supports balanced decisions.",20-45 sec,<20 sec,38,Manual next; stop at end. Autoplay optional in settings and default off.,Collapsed,Current Education Text -> Audio Transcript
Acceptance and Change,17,Important term: experiential avoidance,ACPT-V5-017,Important term: experiential avoidance,"Experiential avoidance means trying to escape uncomfortable thoughts, feelings, sensations, or situations in ways that bring short-term relief but may increase distress over time. With tinnitus, avoidance can sometimes make life smaller and tinnitus more powerful.",20-45 sec,<20 sec,36,Manual next; stop at end. Autoplay optional in settings and default off.,Collapsed,Current Education Text -> Audio Transcript
Acceptance and Change,18,Step one: notice the fight,ACPT-V5-018,Step one: notice the fight,"Taking acceptance and change into real life begins with noticing when you are locked in battle. Are you telling yourself, “I will only be okay when this goes away”? Are you organizing the day around avoiding tinnitus?

You do not need to judge yourself for that reaction. The goal is to recognize the pattern early enough to choose something different.",20-45 sec,20-45 sec,60,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Acceptance and Change,19,Step two: choose one useful action,ACPT-V5-019,Step two: choose one useful action,"Once you notice the fight, ask what action would actually support you. That might be using sound therapy, taking one breath, asking for help, stepping away from an internet search, or rejoining something you care about.

This is where Yes AND becomes practical: “Yes, this is hard, and I can still do one thing that helps.”",20-45 sec,20-45 sec,56,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Acceptance and Change,20,Reconnecting with what matters,ACPT-V5-020,Reconnecting with what matters,"When tinnitus feels overwhelming, it can shrink your world. You may avoid hobbies, social opportunities, music, work tasks, quiet rooms, or routines that used to matter.

The values-driven action plan asks you to name one meaningful activity tinnitus has affected and choose one small step back toward it. You do not need to solve everything first. Re-engagement can begin with one realistic action.",20-45 sec,20-45 sec,63,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Edited Education Text -> Audio Transcript
Acceptance and Change,21,Why this mindset supports the rest of the app,ACPT-V5-021,Why this mindset supports the rest of the app,"Acceptance and change are woven through the rest of tinnitus management. Sound therapy works better when it is not just escape. Mindfulness becomes more approachable when you are not using it as a test of silence. Cognitive reframing is easier when you can pause long enough to question a thought.

By accepting what you cannot instantly fix, you free energy for the parts of life you can influence: routines, stress, sleep, communication, attention, and meaningful activity.",60-90 sec,20-45 sec,76,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Acceptance and Change,22,FAQ: Is acceptance the same as doing nothing?,ACPT-V5-022,FAQ: Is acceptance the same as doing nothing?,"No. Acceptance is not passive. It means you acknowledge what you cannot fully control in this moment and shift attention toward what you can do. That might mean using sound therapy, practicing a skill, asking for support, or choosing an activity that matters.",20-45 sec,<20 sec,43,Manual next; stop at end. Autoplay optional in settings and default off.,Collapsed,Current Education Text -> Audio Transcript
Acceptance and Change,23,"FAQ: If I stop trying to fix tinnitus, won’t it get worse?",ACPT-V5-023,"FAQ: If I stop trying to fix tinnitus, won’t it get worse?","Usually, constant fixing and checking can make tinnitus feel bigger because it keeps the sound at the center of attention. Acceptance does not mean you stop caring. It means you stop letting tinnitus consume every moment while you continue using tools that support you.",20-45 sec,<20 sec,44,Manual next; stop at end. Autoplay optional in settings and default off.,Collapsed,Current Education Text -> Audio Transcript
Acceptance and Change,24,FAQ: Does acceptance mean I am stuck with tinnitus forever?,ACPT-V5-024,FAQ: Does acceptance mean I am stuck with tinnitus forever?,No. Acceptance does not predict the future. It means your life does not have to stay on hold until tinnitus changes. You can stay open to new treatments or strategies while still taking care of your life today.,20-45 sec,<20 sec,38,Manual next; stop at end. Autoplay optional in settings and default off.,Collapsed,Current Education Text -> Audio Transcript
Acceptance and Change,25,FAQ: How can I accept tinnitus when it feels overwhelming?,ACPT-V5-025,FAQ: How can I accept tinnitus when it feels overwhelming?,"Start small. Acceptance may begin with one breath, one moment of noticing, or one choice not to react immediately. If the moment is too intense, use a distress tolerance skill first, then come back to acceptance when your mind has more room.",20-45 sec,<20 sec,42,Manual next; stop at end. Autoplay optional in settings and default off.,Collapsed,Current Education Text -> Audio Transcript
Acceptance and Change,26,Practice: Yes AND,ACPT-V5-026,Practice: Yes AND,"In this exercise, write three honest frustrations about tinnitus. For each one, begin with “Yes,” and name the frustration without softening it. Then add “AND,” followed by one action you can take.

For example: “Yes, tinnitus is louder at night, and I can use the relaxing rain sound I like while I wind down.” Notice how the sentence holds both acceptance and change.",20-45 sec,20-45 sec,63,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Acceptance and Change,27,Practice: Reconnection with What Matters,ACPT-V5-027,Practice: Reconnection with What Matters,"Choose one activity, routine, relationship, or value that tinnitus has affected. Then list small steps that could help you move toward it again.

The point is not to force yourself back all at once. It is to find the lowest-hanging fruit: one concrete step this week that reconnects you with something meaningful.",20-45 sec,20-45 sec,52,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Acceptance and Change,28,Main points,ACPT-V5-028,Main points,"Acceptance does not mean you are okay with tinnitus. It means you stop spending all your energy on a fight you cannot win by force.

Change focuses on what you can influence: your sound environment, habits, attention, communication, self-talk, and daily choices. Yes AND is a simple way to combine acceptance and action. Reducing avoidance can lower stress and free energy for meaningful life.",20-45 sec,20-45 sec,64,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Edited Education Text -> Audio Transcript
Acceptance and Change,29,Before you move on,ACPT-V5-029,Before you move on,"Before you leave this section, write down one small way you can use acceptance as a starting point for change. You might also write a reminder to be patient with yourself as you practice.

This is not a skill you master all at once. It is something you return to each time tinnitus starts pulling you back into the fight.",20-45 sec,20-45 sec,60,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Acceptance and Change,30,Scope and safety,ACPT-V5-030,Scope and safety,"This section teaches educational skills for working with tinnitus-related distress. It is not a substitute for medical care, hearing healthcare, mental health care, or crisis support.

If you feel unsafe, are in a mental health crisis, or are worried you may harm yourself or someone else, do not rely on this app. Seek immediate help from emergency services, crisis resources, or a qualified professional.",20-45 sec,20-45 sec,64,Manual next; stop at end. Autoplay optional in settings and default off.,Collapsed,Current Education Text -> Audio Transcript
Mindfulness,1,Mindfulness: finding calm in the present moment,AUD-MF-V5-001,Mindfulness: finding calm in the present moment,"Mindfulness means learning to notice what is happening right now without immediately fighting it, avoiding it, or judging it. For tinnitus, this does not mean liking the ringing or pretending it is pleasant. It means practicing the ability to notice tinnitus as one part of the moment, alongside your breath, body, thoughts, emotions, and the sounds around you.",20-30 sec,20-45 sec,58,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Mindfulness,2,What you will practice in this section,AUD-MF-V5-002,What you will practice in this section,"In this section, you will learn what mindfulness is, how it differs from simple relaxation, and why it can be useful when tinnitus feels intrusive. You will practice noticing tinnitus without panic or avoidance, using present-moment awareness to interrupt thought spirals, and combining mindfulness with sound therapy, acceptance, and cognitive tools.",20-30 sec,20-45 sec,51,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Mindfulness,3,What mindfulness means for tinnitus,AUD-MF-V5-003,What mindfulness means for tinnitus,"Mindfulness is the practice of being fully present with your experiences, including thoughts, feelings, sensations, and sounds, without trying to push away discomfort or cling tightly to comfort. With tinnitus, this means gently noticing the ringing, buzzing, or hissing while also noticing the rest of the room, the body, the breath, and the activity you are doing. The skill is not to force tinnitus away. The skill is to widen attention so tinnitus is no longer the only thing your mind is holding.",30-45 sec,20-45 sec,83,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Mindfulness,4,You do not have to like the ringing,AUD-MF-V5-004,You do not have to like the ringing,"A key idea in this section is that you do not have to like tinnitus for mindfulness to help. You are not trying to convince yourself that the sound is pleasant. You are practicing a less combative way of noticing it. When the mind stops treating tinnitus as an emergency every time it appears, the sound can begin to lose some of its emotional force.",20-30 sec,20-45 sec,65,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Mindfulness,5,Mindfulness is not forced silence,AUD-MF-V5-005,Mindfulness is not forced silence,"Many people assume mindfulness means sitting silently for a long time and focusing on tinnitus. That misunderstanding can make mindfulness feel impossible. In this app, mindfulness is much broader. It can be one breath before you check your phone, a minute of noticing sounds during a walk, or a short pause while holding a warm drink. Silence is not required. Everyday sounds can become anchors for awareness.",20-30 sec,20-45 sec,67,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Mindfulness,6,Mindfulness is not the same as relaxation,AUD-MF-V5-006,Mindfulness is not the same as relaxation,"Mindfulness and relaxation often overlap, but they are not the same thing. Relaxation focuses on feeling calmer. Mindfulness focuses on noticing what is here with more steadiness and less judgment. Sometimes mindfulness will help you feel relaxed. Other times, it simply helps you notice stress, tinnitus, or frustration without reacting as quickly.",20-30 sec,20-45 sec,52,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Mindfulness,7,Neutral observation and non-judgment,AUD-MF-V5-007,Neutral observation and non-judgment,"When tinnitus appears, the mind may quickly label it as awful, unbearable, or a sign that the day is ruined. Mindfulness gives you a different option: notice the sound and notice the reaction to the sound. You might silently label it, “ringing,” “thought,” or “frustration.” This does not erase tinnitus, but it creates a small pause between the sound and the reaction.",20-30 sec,20-45 sec,62,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Mindfulness,8,Why non-judgment lowers reactivity,AUD-MF-V5-008,Why non-judgment lowers reactivity,"Tinnitus often becomes more distressing when the sound is paired with alarm, fear, self-blame, or catastrophic thoughts. Mindfulness-based approaches help by lowering emotional reactivity. Instead of automatically moving from “I hear tinnitus” to “I can’t stand this,” you practice noticing the sound, taking a breath, and letting the moment be larger than the tinnitus alone.",20-30 sec,20-45 sec,55,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Mindfulness,9,Mindfulness can work with sound therapy,AUD-MF-V5-009,Mindfulness can work with sound therapy,"Sound therapy can make mindfulness more accessible. Gentle background sound gives your attention something neutral to notice, especially when silence makes tinnitus feel too sharp. Mindfulness then helps you use sound therapy without making it another form of panic or avoidance. Together, they support the same goal: helping tinnitus become less dominant in your awareness.",20-30 sec,20-45 sec,55,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Mindfulness,10,Mindfulness supports acceptance,AUD-MF-V5-010,Mindfulness supports acceptance,"The acceptance section focused on dropping the struggle long enough to choose a useful next step. Mindfulness is how you practice that in real time. When you become aware of tinnitus, you can notice it, feel the urge to fight it, and choose where your attention goes next. This is not passive. It is active training in how you respond.",20-30 sec,20-45 sec,60,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Edited Education Text -> Audio Transcript
Mindfulness,11,Mini-practice: 3-2-1 senses,AUD-MF-V5-011,Mini-practice: 3-2-1 senses,"The 3-2-1 senses practice is a simple way to widen attention. Look around and name three things you can see. Then identify two sounds or auditory sensations you can notice. Finally, notice one physical sensation, such as your feet on the floor or clothing against your skin. Pause for a moment afterward and ask whether your awareness or mood shifted.",20-30 sec,20-45 sec,60,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Edited Education Text -> Audio Transcript
Mindfulness,12,Important terms,AUD-MF-V5-012,Important terms,"Mindfulness means paying attention, on purpose, to the present moment without judging what you notice as good or bad. Present-moment awareness means focusing on right now instead of replaying past difficult moments or jumping into future what-ifs. Non-judgment means approaching the experience with openness rather than immediately labeling it awful, unbearable, or your fault.",20-30 sec,20-45 sec,54,Manual next; stop at end. Autoplay optional in settings and default off.,Collapsed,Current Education Text -> Audio Transcript
Mindfulness,13,Putting mindfulness into daily life,AUD-MF-V5-013,Putting mindfulness into daily life,"Mindfulness does not need to be saved for a special meditation session. You can practice it in small moments: before checking your phone, while sitting down, while walking, or when tinnitus first grabs your attention. If tinnitus appears, acknowledge it gently: “I hear that ringing.” Then expand attention to the body, the room, the breath, or the activity in front of you.",20-30 sec,20-45 sec,62,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Mindfulness,14,Responding instead of reacting,AUD-MF-V5-014,Responding instead of reacting,"A mindful pause gives you a moment to respond rather than react. That pause may be one breath, one label, or one shift of attention. The goal is not to make tinnitus disappear in that moment. The goal is to keep the sound from automatically deciding your mood, your behavior, or the next hour of your day.",20-30 sec,20-45 sec,57,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Mindfulness,15,How mindfulness connects to the bigger picture,AUD-MF-V5-015,How mindfulness connects to the bigger picture,"Mindfulness, similar to sound therapy, supports many of the other tools in this app. It strengthens acceptance by helping you observe tinnitus without immediate resistance. It supports sound therapy by helping you stay flexible whether background sound is present or not. It supports distress tolerance by giving you a pause button in difficult moments, and it supports cognitive reframing by helping you see thoughts as events in the mind rather than facts that must be obeyed.",20-30 sec,20-45 sec,76,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Edited Education Text -> Audio Transcript
Mindfulness,16,FAQ: Will mindfulness make me focus on tinnitus more?,AUD-MF-V5-016,FAQ: Will mindfulness make me focus on tinnitus more?,"At first, mindfulness may make you more aware of tinnitus because you are practicing noticing. That does not mean you are doing it wrong. The goal is to notice tinnitus alongside other experiences, not to stare at it mentally. With practice, awareness becomes broader and tinnitus tends to have less control over the whole moment.",20-30 sec,20-45 sec,55,Manual next; stop at end. Autoplay optional in settings and default off.,Collapsed,Current Education Text -> Audio Transcript
Mindfulness,17,FAQ: Do I need silence?,AUD-MF-V5-017,FAQ: Do I need silence?,"No. Mindfulness can happen with traffic, fans, appliances, conversation, music, or sound therapy in the background. Everyday sound can help anchor attention. Tinnitus can be included in awareness without becoming the only sound that matters.",20-30 sec,<20 sec,35,Manual next; stop at end. Autoplay optional in settings and default off.,Collapsed,Current Education Text -> Audio Transcript
Mindfulness,18,FAQ: Is mindfulness relaxation?,AUD-MF-V5-018,FAQ: Is mindfulness relaxation?,"Mindfulness and relaxation can overlap, but mindfulness is broader. You may feel calmer, but the main skill is learning to observe your experience and let go of harsh judgments. Sometimes you will practice mindfulness during a calm moment. Other times you will practice it while you are uncomfortable.",20-30 sec,20-45 sec,48,Manual next; stop at end. Autoplay optional in settings and default off.,Collapsed,Current Education Text -> Audio Transcript
Mindfulness,19,FAQ: How long do I need to practice?,AUD-MF-V5-019,FAQ: How long do I need to practice?,"You do not need to meditate for long periods every day for mindfulness to matter. Short, frequent practices can build the same kind of skill. One breath, one minute of listening, or a brief 3-2-1 senses check-in can be enough to practice returning to the present moment.",20-30 sec,<20 sec,47,Manual next; stop at end. Autoplay optional in settings and default off.,Collapsed,Edited Education Text -> Audio Transcript
Mindfulness,20,Exercise: Mindful Listening in Everyday Activity,AUD-MF-V5-020,Exercise: Mindful Listening in Everyday Activity,"Mindful Listening helps you practice broad awareness during something ordinary, such as washing dishes, walking, or sitting with a cup of tea. Begin the activity with a slow breath. Notice all the sounds you can hear: water, footsteps, traffic, birds, the hum of a room, and tinnitus if it is present. If you notice tinnitus, label it neutrally as “ringing,” then gently widen attention to the rest of the sound environment.",20-30 sec,20-45 sec,71,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Mindfulness,21,Reflect after mindful listening,AUD-MF-V5-021,Reflect after mindful listening,"After a minute or two, pause and ask what changed. Did noticing other sounds shift your experience of tinnitus? Did your body or mood feel any different before and after the practice? There is no perfect answer. The point is to notice whether attention can widen, even briefly.",20-30 sec,20-45 sec,48,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Mindfulness,22,Exercise: Sound Shifting Practice,AUD-MF-V5-022,Exercise: Sound Shifting Practice,"Sound Shifting trains attention to move instead of getting locked onto one sound. Set a short timer for two to five minutes. Begin by gently noticing tinnitus for 15 to 20 seconds. Notice thoughts or feelings that arise, and label them simply as “thought” or “feeling.” Then shift attention to another sound, such as a fan, traffic, music, or your breathing. Continue moving back and forth in short intervals.",20-30 sec,20-45 sec,69,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Mindfulness,23,Reflect after sound shifting,AUD-MF-V5-023,Reflect after sound shifting,"When the timer ends, ask how it felt to switch your attention on purpose. Did any emotions shift during the exercise? Did tinnitus feel different after attention moved away and returned? The goal is not to like tinnitus. The goal is to practice directing awareness rather than feeling stuck.",20-30 sec,20-45 sec,49,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Mindfulness,24,Tips for sound shifting,AUD-MF-V5-024,Tips for sound shifting,"Stay neutral when frustration appears. You can mentally note “frustration”, feel it, and try not to suppress it, and then continue. Keep the practice short at first; two or three rounds may be enough. As you become more comfortable, you can lengthen the timer or include more external sounds. You are building flexibility, not testing endurance.",20-30 sec,20-45 sec,56,Manual next; stop at end. Autoplay optional in settings and default off.,Collapsed,Edited Education Text -> Audio Transcript
Mindfulness,25,When mindfulness feels hard,AUD-MF-V5-025,When mindfulness feels hard,"Sometimes mindfulness will feel difficult, especially if tinnitus is loud or you are already distressed. That does not mean mindfulness is wrong for you. Make the practice smaller. Add comfortable sound. Use 3-2-1 senses instead of a longer exercise. If you feel overwhelmed, switch to distress tolerance tools first and come back to mindfulness later.",20-30 sec,20-45 sec,55,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Mindfulness,26,Main points,AUD-MF-V5-026,Main points,"Mindfulness helps you notice tinnitus without being ruled by it. It is not about erasing the sound, but changing the response to it. Short, regular practices can interrupt thought loops and support tools like sound therapy, acceptance, distress tolerance, and cognitive reframing. Being present can reduce fear when tinnitus changes or feels louder.",20-30 sec,20-45 sec,53,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Mindfulness,27,Your mindfulness plan,AUD-MF-V5-027,Your mindfulness plan,"Before you move on, choose one small way to include mindfulness in your routine. It might be one breath in the morning, a 3-2-1 senses check-in during the day, mindful listening during a daily task, or sound shifting when tinnitus feels sticky. Write a reminder to be patient with yourself. This skill grows through practice, not perfection.",20-30 sec,20-45 sec,57,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Mindfulness,28,Scope and safety,AUD-MF-V5-028,Scope and safety,"This section offers education and self-guided practice. It is not therapy, medical advice, or crisis support. If mindfulness increases distress, shorten the practice, add comfortable sound, or switch to grounding. If you feel unsafe or in a mental health crisis, do not rely on the app; seek immediate support from emergency services, crisis resources, or a qualified professional.",20-30 sec,20-45 sec,58,Manual next; stop at end. Autoplay optional in settings and default off.,Collapsed,Current Education Text -> Audio Transcript
Distress Tolerance,1,Tools for intense tinnitus moments,DT-500-INTRO,Tools for intense tinnitus moments,"Distress tolerance is about what to do when tinnitus suddenly feels overwhelming. These skills are not meant to erase tinnitus or solve the whole problem in one move. Their purpose is to help you stay grounded, slow the spiral, and avoid reacting in a way that makes the moment harder. When tinnitus feels like it is pulling all of your attention, distress tolerance gives you a short-term bridge back to steadier thinking.",30-45 sec,20-45 sec,72,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Distress Tolerance,2,What you will learn in this section,DT-501-OBJECTIVES,What you will learn in this section,"In this section, you will learn quick skills you can use when tinnitus feels intense. You will practice naming a fluctuation without assuming it is permanent, pausing before reacting, using your body to calm your nervous system, and choosing a response that supports your long-term well-being. The goal is not to never feel distress. The goal is to have a plan for what to do when distress shows up.",30-45 sec,20-45 sec,69,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Distress Tolerance,3,"Managing distress, not eliminating it",DT-502-MANAGE-NOT-ELIMINATE,"Managing distress, not eliminating it","Distress tolerance focuses on managing emotional overwhelm in the short term. This matters for tinnitus because sudden changes in loudness, pitch, or intrusiveness can trigger panic, frustration, or a rush to do something drastic. In those moments, trying to force tinnitus away can make your attention narrow even more. Distress tolerance gives you a way to lower the intensity of the moment first, so you can decide what to do next with a clearer mind.",45-60 sec,20-45 sec,75,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Distress Tolerance,4,Why panic makes tinnitus feel bigger,DT-503-PANIC-LOOP,Why panic makes tinnitus feel bigger,"When you feel panicked about tinnitus, your brain pays closer attention to the sound. That extra attention can make tinnitus feel louder, sharper, or more threatening, even if the signal itself has not changed much. Distress tolerance interrupts this loop. A cold splash of water, a pause, a breath, or a short movement break gives your body another high-priority signal and gives your mind a chance to stop chasing the alarm.",30-45 sec,20-45 sec,71,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Edited Education Text -> Audio Transcript
Distress Tolerance,5,"Use the word fluctuation, not spike",DT-504-FLUCTUATION,"Use the word fluctuation, not spike","Language matters. The word spike can make a tinnitus change sound like a permanent emergency. The word fluctuation is more neutral. It reminds you that tinnitus can move up and down, shift in tone, and feel more or less intrusive depending on the day, the body, stress, sleep, attention, and environment. A difficult fluctuation can still be unpleasant, but naming it as a fluctuation helps reduce the automatic fear that it will stay this way forever.",45-60 sec,20-45 sec,76,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Distress Tolerance,6,Distress tolerance is a short-term safety valve,DT-505-SAFETY-VALVE,Distress tolerance is a short-term safety valve,"Distress tolerance is different from longer-term tools like cognitive reframing or acceptance work. It does not try to change your core beliefs about tinnitus in the middle of a hard moment. It gives you a safety valve. Once your body and mind are less activated, then you can decide whether to use sound therapy, mindfulness, a thought record, a communication skill, or simply return to what you were doing.",30-45 sec,20-45 sec,69,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Distress Tolerance,7,When distress becomes a safety concern,DT-506-SAFETY-BOUNDARY,When distress becomes a safety concern,"Distress tolerance skills are useful for intense tinnitus distress, but they are not a crisis plan. If you feel unsafe, feel at risk of harming yourself, or are in a mental health crisis, do not rely on this app as your only support. Seek immediate help through emergency services, crisis resources, or a qualified professional. These skills can be part of a broader plan, but safety comes first.",30-45 sec,20-45 sec,68,Manual next; stop at end. Autoplay optional in settings and default off.,Collapsed,Current Education Text -> Audio Transcript
Distress Tolerance,8,Important terms,DT-507-TERMS-OVERVIEW,Important terms,"A few terms will come up throughout this section. Distress tolerance means using skills to cope with intense emotions in the short term without making the situation worse. STOP is a quick pause-and-choose skill. TIPP is a group of body-based tools that can lower emotional intensity. Fluctuation is a neutral word for tinnitus changes, reminding you that a difficult sound moment is not automatically a permanent escalation.",45-60 sec,20-45 sec,67,Manual next; stop at end. Autoplay optional in settings and default off.,Collapsed,Current Education Text -> Audio Transcript
Distress Tolerance,9,STOP: pause before reacting,DT-508-STOP-TERM,STOP: pause before reacting,"The STOP skill gives you a way to insert a pause between noticing tinnitus distress and reacting to it. Stop. Take a step back. Observe what is happening in your body, thoughts, emotions, and urges. Then proceed mindfully by choosing a response that supports you. STOP is useful because tinnitus distress often grows when the first reaction takes over before you have a chance to think.",30-45 sec,20-45 sec,66,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Distress Tolerance,10,TIPP: use the body to calm the mind,DT-509-TIPP-TERM,TIPP: use the body to calm the mind,"TIPP stands for Temperature, Intense movement, Paced breathing, and Paired muscle relaxation. These skills target the body’s stress response. When tinnitus distress pushes you into fight-or-flight mode, changing your physical state can help your mind come back online. The goal is not pain, exhaustion, or pushing your body too hard. The goal is safe, noticeable body-based regulation.",45-60 sec,20-45 sec,57,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Edited Education Text -> Audio Transcript
Distress Tolerance,11,Practice before the tornado,DT-510-PRACTICE-EARLY,Practice before the tornado,Distress tolerance works best when you practice it before the hardest moment. Try STOP when you feel impatient in traffic. Practice paced breathing when you are mildly stressed. Notice what happens when you use cold water or a short movement break during a smaller frustration. Rehearsing these skills in ordinary moments makes them easier to find when tinnitus feels much more intense.,45-60 sec,20-45 sec,62,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Distress Tolerance,12,From “fix this now” to “I can handle this moment”,DT-511-HANDLE-THIS-MOMENT,From “fix this now” to “I can handle this moment”,"A difficult tinnitus moment can create the feeling that something must be fixed immediately. Distress tolerance shifts the goal. Instead of demanding that tinnitus disappear right now, the goal becomes: I can handle this moment without making it worse. That shift matters. It lets you take the next useful step, whether that is sound therapy, a walk, a breathing practice, a call to someone supportive, or returning to an activity you care about.",45-60 sec,20-45 sec,73,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Edited Education Text -> Audio Transcript
Distress Tolerance,13,Mini-exercise: Grab an ice cube,DT-512-ICE-CUBE,Mini-exercise: Grab an ice cube,"Temperature can pull attention back into the body quickly. One simple version is holding a small ice cube for a short time and noticing the cold, the water, and the changing sensation. The goal is not pain. The goal is to give your nervous system a clear, safe, high-priority sensation so your mind has a moment to step out of the tinnitus spiral. If it becomes painful or unsafe, stop.",45-60 sec,20-45 sec,70,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
Distress Tolerance,14,Another sensory option: frozen orange grounding,DT-513-FROZEN-ORANGE,Another sensory option: frozen orange grounding,"Some people like a sensory grounding object that changes over time. A frozen orange can offer cold, texture, scent, and movement as it warms in your hand. You might notice frost, the peel, the citrus smell, or the way the surface softens. This can feel like a strange suggestion, but it gets your mind out of focusing on tinnitus. It is simply another way to give attention a safe, concrete place to land when tinnitus-related thoughts are spinning.",45-60 sec,20-45 sec,78,Manual next; stop at end. Autoplay optional in settings and default off.,Collapsed,Edited Education Text -> Audio Transcript
Distress Tolerance,15,Exercise: Take a pause before reacting,DT-514-STOP-EXERCISE-INTRO,Exercise: Take a pause before reacting,"When tinnitus fluctuates, it is easy to react immediately with frustration or panic. The STOP exercise helps you pause, assess what is happening, and choose a response that is more likely to help. Instead of being caught in the first automatic reaction, you give yourself a few seconds of space. That space can be enough to keep the moment from becoming larger than it needs to be.",45-60 sec,20-45 sec,67,Manual next; stop at end. Autoplay optional in settings and default off.,Expanded,Current Education Text -> Audio Transcript
