Batch,Production Order,Audio ID,Module,Screen ID(s),Topic,Audio Type,Target Length,Estimated TTS Seconds @145wpm,Final Asset Path,Script / Transcript,Production Status,TTS Pass Status,Audio QA Status,Notes
B06 — Cognitive Reframing,74,AUD-503-SHORTCUT,Cognitive Reframing,CR-002,Automatic Shortcuts,Short explainer,15-30 sec,12,audio/cognitive/p_503_aud_503_shortcut_automatic_shortcuts.m4a,"Your thoughts use shortcuts all the time. That is normal. The problem is that stress can make those shortcuts too fast and too certain, especially when tinnitus already feels threatening.",Ready for TTS,Not generated,Not checked,Slight adjustment
B06 — Cognitive Reframing,75,AUD-503-REFLECT,Cognitive Reframing,CR-002,Jumping to Conclusions Reflection,Short explainer,15-30 sec,14,audio/cognitive/p_503_aud_503_reflect_jumping_to_conclusions_reflectio.m4a,"Almost everyone has made a decision in the moment, then later realized they jumped too quickly. Cognitive reframing is a way to catch that process earlier, and to recognize the pattern that brought it up. ",Ready for TTS,Not generated,Not checked,Changed ending.  
B06 — Cognitive Reframing,76,AUD-504-FACTS,Cognitive Reframing,CR-002,Thoughts Are Not Facts,Short explainer,15-30 sec,15,audio/cognitive/p_504_aud_504_facts_thoughts_are_not_facts.m4a,"A thought can feel true before it has been checked. In this section, we are not fighting thoughts or pretending they are are inappropriat. We are asking whether they are accurate enough to guide what happens next.",Ready for TTS,Not generated,Not checked,Slight adjustment
B06 — Cognitive Reframing,77,AUD-506-DT-BRIDGE,Cognitive Reframing,CR-002,Distress Bridge,Short explainer,15-30 sec,15,audio/cognitive/p_506_aud_506_dt_bridge_distress_bridge.m4a,"If distress is high, do not force yourself into a thought worksheet. First use a distress tolerance tool to cool things down. Reframing works better when the tornado has slowed enough for thinking to come back online.",Ready for TTS,Not generated,Not checked,Slight adjustment
B06 — Cognitive Reframing,78,AUD-507-MIND-BRIDGE,Cognitive Reframing,CR-002,Mindfulness Bridge,Short explainer,15-30 sec,10,audio/cognitive/p_507_aud_507_mind_bridge_mindfulness_bridge.m4a,"Mindfulness helps you notice the thought before you react to it. Cognitive reframing then asks, is this thought complete, accurate, and useful right now?",Ready for TTS,Not generated,Not checked,Good
B06 — Cognitive Reframing,79,AUD-508-LIBRARY,Cognitive Reframing,CR-003,Distortion Library,Short explainer,30-60 sec,14,audio/cognitive/p_508_aud_508_library_distortion_library.m4a,"Cognitive distortions are common thinking shortcuts. They are not signs that you are doing anything wrong. They are patterns to notice. Once you can name a pattern, it becomes easier to question it.",Ready for TTS,Not generated,Not checked,Good
B06 — Cognitive Reframing,80,AUD-508-AON,Cognitive Reframing,CR-003,All-or-Nothing Thinking,Short explainer,15-30 sec,14,audio/cognitive/p_508_aud_508_aon_all_or_nothing_thinking.m4a,"All-or-nothing thinking turns a complicated situation into two choices: perfect or ruined. Tinnitus rarely works that way. A difficult sound day does not mean the whole day, week, or future is lost.",Ready for TTS,Not generated,Not checked,Good
B06 — Cognitive Reframing,81,AUD-508-OVER,Cognitive Reframing,CR-003,Overgeneralization,Short explainer,15-30 sec,10,audio/cognitive/p_508_aud_508_over_overgeneralization.m4a,Overgeneralization takes one moment and stretches it too far. My tinnitus is loud today does not automatically mean every day will feel this way.,Ready for TTS,Not generated,Not checked,Good
B06 — Cognitive Reframing,82,AUD-508-FILTER,Cognitive Reframing,CR-003,Filtering,Short explainer,15-30 sec,10,audio/cognitive/p_508_aud_508_filter_filtering.m4a,Filtering means your mind locks onto the evidence that supports distress and filters out everything else. Reframing asks what else is true too.,Ready for TTS,Not generated,Not checked,Good
B06 — Cognitive Reframing,83,AUD-508-MINDREAD,Cognitive Reframing,CR-003,Mind Reading,Short explainer,15-30 sec,13,audio/cognitive/p_508_aud_508_mindread_mind_reading.m4a,"Mind reading happens when we assume we know what other people think. With tinnitus, this may sound like, everyone thinks I am overreacting. The first question is: do I actually know that?",Ready for TTS,Not generated,Not checked,Good
B06 — Cognitive Reframing,84,AUD-508-MIN,Cognitive Reframing,CR-003,Minimizing,Short explainer,15-30 sec,10,audio/cognitive/p_508_aud_508_min_minimizing.m4a,"Minimizing downplays progress. If you used sound therapy, breathing, or a better plan, that is not just luck. It is evidence that your choices matter.",Ready for TTS,Not generated,Not checked,Good.
B06 — Cognitive Reframing,85,AUD-508-CATA,Cognitive Reframing,CR-003,Catastrophizing,Short explainer,15-30 sec,14,audio/cognitive/p_508_aud_508_cata_catastrophizing.m4a,Catastrophizing turns a hard moment into a disaster story. The goal is not to deny that the moment is hard. The goal is to stop the story from becoming larger than the evidence.,Ready for TTS,Not generated,Not checked,Good
B06 — Cognitive Reframing,86,AUD-508-CONTROL,Cognitive Reframing,CR-003,Control Fallacies,Short explainer,15-30 sec,16,audio/cognitive/p_508_aud_508_control_control_fallacies.m4a,"Control fallacies make it feel like you have either total control or no control at all. Tinnitus management usually lives in the middle: you may not control every sound moment, but you can influence your response and environment.",Ready for TTS,Not generated,Not checked,Good
B06 — Cognitive Reframing,87,AUD-508-REWARD,Cognitive Reframing,CR-003,Heaven's Reward Fallacy,Short explainer,15-30 sec,15,audio/cognitive/p_508_aud_508_reward_heaven_s_reward_fallacy.m4a,Heaven’s reward fallacy is thinking that our struggle is justified just from it being a struggle. Suffering harder does not make tinnitus improve faster. A more useful question is: what action actually supports me today?,Ready for TTS,Not generated,Not checked,Adjusted
B06 — Cognitive Reframing,88,AUD-508-LABEL,Cognitive Reframing,CR-003,Labeling,Short explainer,15-30 sec,9,audio/cognitive/p_508_aud_508_label_labeling.m4a,Labeling turns a struggle into an identity. I am having a hard tinnitus day is very different from I am a failure.,Ready for TTS,Not generated,Not checked,Good
B06 — Cognitive Reframing,89,AUD-508-PERSON,Cognitive Reframing,CR-003,Personalization,Short explainer,15-30 sec,9,audio/cognitive/p_508_aud_508_person_personalization.m4a,"Personalization puts all the blame on you, even when the situation is more complicated. Reframing helps separate responsibility from self-attack.",Ready for TTS,Not generated,Not checked,Good
B06 — Cognitive Reframing,90,AUD-509-LOUD-MORNING,Cognitive Reframing,CR-004,Loud Morning Example,Example walkthrough,60-90 sec,27,audio/cognitive/p_509_aud_509_loud_morning_loud_morning_example.m4a,"Let's try one example. The thought is: my tinnitus is loud this morning, so today will be terrible. That thought feels understandable, but is it guaranteed? Have you ever had loud tinnitus and still had a meaningful or even decent day? A more balanced statement might be: this morning is difficult, and I can still use my tools and see how the day unfolds.",Ready for TTS,Not generated,Not checked,Great
B06 — Cognitive Reframing,91,AUD-510-DISTORTION-DETECTIVE,Cognitive Reframing,CR-005,Distortion Detective,Exercise walkthrough,60-90 sec,16,audio/cognitive/p_510_aud_510_distortion_detective_distortion_detective.m4a,"Write the distressing thought as clearly as you can. Then choose the thought pattern that seems closest. Next, list what supports the thought and what contradicts it. Finally, write a more balanced way to look at the situation.",Ready for TTS,Not generated,Not checked,Good
B06 — Cognitive Reframing,92,AUD-510-LABEL,Cognitive Reframing,CR-005,Name the Distortion,Short explainer,15-30 sec,11,audio/cognitive/p_510_aud_510_label_name_the_distortion.m4a,"You do not have to pick the perfect label. Choose the closest pattern, or create your own name for it. The purpose is distance, not perfection.",Ready for TTS,Not generated,Not checked,Good
B06 — Cognitive Reframing,93,AUD-510-EVIDENCE,Cognitive Reframing,CR-005,Exercise 10 Evidence,Short explainer,15-30 sec,9,audio/cognitive/p_510_aud_510_evidence_exercise_10_evidence.m4a,Evidence for and evidence against help the thought become testable. A thought can be partly true without being the whole story.,Ready for TTS,Not generated,Not checked,Good
B06 — Cognitive Reframing,94,AUD-510-BALANCED,Cognitive Reframing,CR-005,Exercise 10 Balanced Thought,Short explainer,15-30 sec,11,audio/cognitive/p_510_aud_510_balanced_exercise_10_balanced_thought.m4a,The balanced thought should feel realistic enough to believe. It does not need to be cheerful. It needs to be more accurate than the original thought.,Ready for TTS,Not generated,Not checked,Slight adjustment.  
B06 — Cognitive Reframing,95,AUD-511-EVIDENCE-CONCEPT,Cognitive Reframing,CR-005,Evidence Concept,Short explainer,15-30 sec,11,audio/cognitive/p_511_aud_511_evidence_concept_evidence_concept.m4a,"When a thought is loud, certainty can come quickly. Looking at both sides slows the process down and gives your mind more than one path forward.",Ready for TTS,Not generated,Not checked,Good
B06 — Cognitive Reframing,96,AUD-512-EVIDENCE-TABLE,Cognitive Reframing,CR-005,Evidence For-and-Against,Exercise walkthrough,60-90 sec,13,audio/cognitive/p_512_aud_512_evidence_table_evidence_for_and_against.m4a,"Choose one negative belief about tinnitus. Write the evidence that seems to support it, then the evidence that does not support it. Use both sides to create a more balanced statement.",Ready for TTS,Not generated,Not checked,Good
B06 — Cognitive Reframing,97,AUD-513-REFRAME,Cognitive Reframing,CR-005,Balanced Reframe Builder,Exercise walkthrough,60-90 sec,15,audio/cognitive/p_513_aud_513_reframe_balanced_reframe_builder.m4a,"A useful reframe often starts small: this is difficult, and I have handled difficult moments before. Or: this feels threatening, but the evidence does not prove that today is ruined. Choose words that are realistic for you.",Ready for TTS,Not generated,Not checked,Good
B06 — Cognitive Reframing,98,AUD-515-ONE-IN-TWENTY,Cognitive Reframing,CR-006,Practice Expectations,Short explainer,30-60 sec,13,audio/cognitive/p_515_aud_515_one_in_twenty_practice_expectations.m4a,"At first, you may miss most of these thoughts. That is expected. If you catch one out of twenty, that is not failure. That is the beginning of a skill becoming visible.",Ready for TTS,Not generated,Not checked,Good
B06 — Cognitive Reframing,99,AUD-516-TOP-PATTERNS,Cognitive Reframing,CR-006,Top Thought Patterns,Short explainer,30-60 sec,13,audio/cognitive/p_516_aud_516_top_patterns_top_thought_patterns.m4a,"Do not try to monitor every thought. Pick one or two patterns that show up often, like catastrophizing or all-or-nothing thinking. Those are the patterns we will practice noticing first.",Ready for TTS,Not generated,Not checked,Great
B06 — Cognitive Reframing,100,AUD-519-SUCCESS,Cognitive Reframing,CR-006,Success Recognition,Short explainer,30-60 sec,13,audio/cognitive/p_519_aud_519_success_success_recognition.m4a,"Progress is easy to minimize. If you used a skill, changed the environment, took a breath, or stayed engaged, that is worth noticing. It gives your brain evidence that your responses matter.",Ready for TTS,Not generated,Not checked,Great
B06 — Cognitive Reframing,101,AUD-520-BEYOND,Cognitive Reframing,CR-006,Beyond Tinnitus,Short explainer,60-90 sec,19,audio/cognitive/p_520_aud_520_beyond_beyond_tinnitus.m4a,"Many people first notice these patterns with tinnitus, then find them elsewhere. The same catastrophizing that says tinnitus will ruin the day may also appear when a work inbox is full. Once you recognize the pattern, you can use the same skill in more than one place.",Ready for TTS,Not generated,Not checked,Good
B06 — Cognitive Reframing,102,AUD-521-WHACK,Cognitive Reframing,CR-006,Do Not Chase Every Thought,Short explainer,30-60 sec,11,audio/cognitive/p_521_aud_521_whack_do_not_chase_every_thought.m4a,Cognitive reframing should not become a whack-a-mole game where you chase every uncomfortable thought. Start with the repeated patterns that create the most distress.,Ready for TTS,Not generated,Not checked,Good
B06 — Cognitive Reframing,103,AUD-522-MYPLAN,Cognitive Reframing,CR-006,Save to My Plan,Short explainer,15-30 sec,10,audio/cognitive/p_522_aud_522_myplan_save_to_my_plan.m4a,Save the patterns and balanced statements that feel useful. These will stay in the app and can become part of your personal tinnitus management plan.,Ready for TTS,Not generated,Not checked,Good
B06 — Cognitive Reframing,104,AUD-523-BRIDGE,Cognitive Reframing,CR-006,Bridge to Self-Compassion,Short explainer,30-60 sec,12,audio/cognitive/p_523_aud_523_bridge_bridge_to_self_compassion.m4a,"After we learn to question a thought, the next step is learning not to attack ourselves for having it. The next section focuses on validation and self-compassion.",Ready for TTS,Not generated,Not checked,Good
B07 — Confidence and Communication,105,AUD-700-OV,Confidence and Communication,CC-001,Support and Communication,Loop overview,60-90 sec,18,audio/confidence_and_communication/p_700_aud_700_ov_support_and_communication.m4a,"This section brings together two sides of tinnitus management. One side is internal: how you respond to yourself when tinnitus is hard. The other side is external: how you communicate your needs without withdrawing, over-apologizing, or feeling like your experience does not matter.",Ready for TTS,Not generated,Not checked,Good
B07 — Confidence and Communication,106,AUD-701-S,Confidence and Communication,CC-001,Why this belongs,Short explainer,15-30 sec,13,audio/confidence_and_communication/p_701_aud_701_s_why_this_belongs.m4a,"Tinnitus may be heard as a sound, but it can also affect confidence, relationships, and the way you talk to yourself. That is why support and communication belong in tinnitus management.",Ready for TTS,Not generated,Not checked,Good
B07 — Confidence and Communication,107,AUD-702-S,Confidence and Communication,CC-001,Internal and external support,Short explainer,15-30 sec,14,audio/confidence_and_communication/p_702_aud_702_s_internal_and_external_support.m4a,Self-compassion is the internal side of support. Interpersonal effectiveness is the external side. One helps you respond to yourself with more patience. The other helps you communicate clearly with the people around you.,Ready for TTS,Not generated,Not checked,Good
B07 — Confidence and Communication,108,AUD-710-S,Confidence and Communication,CC-002,Self-compassion basics,Short explainer,15-30 sec,10,audio/confidence_and_communication/p_710_aud_710_s_self_compassion_basics.m4a,Self-compassion is the skill of responding to yourself with the same patience and care you would probably offer to someone else who was struggling.,Ready for TTS,Not generated,Not checked,Adjusted
B07 — Confidence and Communication,109,AUD-711-S,Confidence and Communication,CC-002,Validation basics,Short explainer,15-30 sec,9,audio/confidence_and_communication/p_711_aud_711_s_validation_basics.m4a,Validation means recognizing that your reaction makes sense. Tinnitus distress is real. You can acknowledge that without deciding that nothing can change.,Ready for TTS,Not generated,Not checked,Good
B07 — Confidence and Communication,110,AUD-713-S,Confidence and Communication,CC-002,Self-critical voice,Short explainer,15-30 sec,15,audio/confidence_and_communication/p_713_aud_713_s_self_critical_voice.m4a,"The self-critical voice adds another layer to tinnitus. Instead of only dealing with the sound, you may also be dealing with thoughts like, I should be handling this better. This section helps you soften that voice.",Ready for TTS,Not generated,Not checked,Good
B07 — Confidence and Communication,111,AUD-716-S,Confidence and Communication,CC-002,Slow progress counts,Short explainer,15-30 sec,12,audio/confidence_and_communication/p_716_aud_716_s_slow_progress_counts.m4a,"You will miss opportunities to practice this. That is normal. It takes time. If you catch one self-critical thought that you would have missed before, that is progress.",Ready for TTS,Not generated,Not checked,Good.  
B07 — Confidence and Communication,112,AUD-714-G,Confidence and Communication,CC-003,Re-scripting exercise,Exercise walkthrough,60-90 sec,19,audio/confidence_and_communication/p_714_aud_714_g_re_scripting_exercise.m4a,Start with one self-critical thought. Now imagine that someone you care about said the same thing about themselves. What would you say back? Write that response down. Then adjust it so it sounds like something you could say to yourself on a hard day.,Ready for TTS,Not generated,Not checked,Adjusted one word
B07 — Confidence and Communication,113,AUD-730-S,Confidence and Communication,CC-004,DEAR MAN overview,Short explainer,30-45 sec,17,audio/confidence_and_communication/p_730_aud_730_s_dear_man_overview.m4a,"DEAR MAN is a structured way to make a request or explain a need. You describe the situation, express how it affects you, assert what you are asking for, reinforce why it matters, stay mindful, appear confident, and negotiate when needed.",Ready for TTS,Not generated,Not checked,Good
B07 — Confidence and Communication,114,AUD-731-G,Confidence and Communication,CC-005,DEAR MAN exercise,Exercise walkthrough,60-90 sec,15,audio/confidence_and_communication/p_731_aud_731_g_dear_man_exercise.m4a,"Think of one situation where tinnitus, hearing difficulty, or sound sensitivity makes communication harder. Describe the situation in neutral terms. Express how it affects you. Then write one clear request that would make the situation easier.",Ready for TTS,Not generated,Not checked,Good
B07 — Confidence and Communication,115,AUD-701-G,Confidence and Communication,CC-005,DEAR MAN,Exercise walkthrough,60-90 sec,13,audio/confidence_and_communication/p_701_aud_701_g_dear_man.m4a,"DEAR MAN helps you make a clear request. Describe the situation, express how it affects you, assert what you need, reinforce why it helps, and stay mindful, confident, and willing to negotiate.",Ready for TTS,Not generated,Not checked,Good. 
B07 — Confidence and Communication,116,AUD-732-S,Confidence and Communication,CC-006,Waiting room example,Example,45-60 sec,19,audio/confidence_and_communication/p_732_aud_732_s_waiting_room_example.m4a,"A person waiting in a shared room may feel overwhelmed by a loud television. Distress tolerance skills can help, but another option is a clear, respectful request: would it be possible to mute the TV while I wait? Sometimes the helpful action is simpler than we expect.",Ready for TTS,Not generated,Not checked,Good
B07 — Confidence and Communication,117,AUD-750-OV,Confidence and Communication,CC-006,Loop wrap-up,Wrap-up,45-60 sec,17,audio/confidence_and_communication/p_750_aud_750_ov_loop_wrap_up.m4a,"Self-compassion helps you stop adding shame to tinnitus. Communication skills help you stop carrying everything alone. Together, they support the same goal as the rest of this app: staying engaged with life while you keep practicing the tools that help.",Ready for TTS,Not generated,Not checked,Good
B08 — Sleep,118,AUD-800-OV,Sleep,SL-001,Sleep,Chapter overview,60-90 sec,16,audio/sleep/p_800_aud_800_ov_sleep.m4a,"Sleep and tinnitus can affect each other. Poor sleep can make the day feel harder, and tinnitus distress can make sleep feel harder. This section will talk about some of the things we can do to help sleep.  ",Ready for TTS,Not generated,Not checked,Changed ending.
B08 — Sleep,119,NEW-AUD-SL-SCOPE-001,Sleep,SL-001,Sleep scope and professional support,Scope explainer,30-45 sec,19,audio/sleep/sl_scope_001_sleep_scope.m4a,"Sleep belongs here because tinnitus and sleep can strongly affect each other. This section is educational. It can help you understand common patterns and starter tools, but persistent sleep problems, suspected sleep apnea, medication questions, or major impairment deserve direct support from a qualified clinician.",Ready for TTS,Not generated,Not checked,Approved during asset-gap closure; final natural-phrasing edits allowed during TTS.
B08 — Sleep,120,AUD-801-S,Sleep,SL-002,Sleep Cycle,Short explainer,15-30 sec,12,audio/sleep/p_801_aud_801_s_sleep_cycle.m4a,"When tinnitus, stress, and poor sleep feed each other, the problem can feel bigger than any one piece. The goal is to find one helpful place to interrupt the cycle.",Ready for TTS,Not generated,Not checked,Good
B08 — Sleep,121,NEW-AUD-SL-CBTI-001,Sleep,SL-003,CBT-I and BBTI in plain language,Short explainer,45-60 sec,27,audio/sleep/sl_cbti_001_cbti_bbti_plain_language.m4a,"CBT-I is a structured treatment that looks at the thoughts, habits, and patterns that keep insomnia going. BBTI is a briefer behavioral version designed to make effective sleep tools more accessible. This app is not providing those treatments, but it can introduce the idea that sleep can often be approached with skills, structure, and professional support instead of only trying to knock yourself out.",Ready for TTS,Not generated,Not checked,Approved during asset-gap closure; final natural-phrasing edits allowed during TTS.
B08 — Sleep,122,NEW-AUD-SL-SOUND-001,Sleep,SL-004,Sound at night / bedtime sound plan,Exercise walkthrough,45-60 sec,26,audio/sleep/sl_sound_001_bedtime_sound_plan.m4a,"At night, tinnitus can stand out because the world gets quieter and there may be less to hold your attention. A bedtime sound plan uses the same sound therapy principles: comfortable sound, enough to hear, not so loud that it has to cover everything. Choose a sound source you can use consistently and safely, then let it support settling rather than forcing sleep.",Ready for TTS,Not generated,Not checked,Approved during asset-gap closure; final natural-phrasing edits allowed during TTS.
B08 — Sleep,123,AUD-803-G,Sleep,SL-005,Negative Sleep Thoughts,Exercise walkthrough,60-90 sec,15,audio/sleep/p_803_aud_803_g_negative_sleep_thoughts.m4a,"Thoughts that arise when we are trying to sleep can become very convincing. Write the sleep thought down, name the pattern, challenge it with evidence, and create a statement that is more balanced and less threatening.",Ready for TTS,Not generated,Not checked,Good
B08 — Sleep,124,NEW-AUD-SL-STIM-001,Sleep,SL-006,Stimulus control education,Short explainer,45-60 sec,27,audio/sleep/sl_stim_001_stimulus_control_education.m4a,"When someone spends a lot of time awake, frustrated, and alert in bed, the bed can start to feel connected to struggle instead of sleep. Stimulus control is a sleep concept that tries to rebuild that connection. Here, we are introducing the idea carefully, not prescribing a rigid sleep treatment. If insomnia is persistent or severe, this is a good reason to seek sleep-focused care.",Ready for TTS,Not generated,Not checked,Approved during asset-gap closure; final natural-phrasing edits allowed during TTS.
B08 — Sleep,125,AUD-802-G,Sleep,SL-007,Wind-Down,Guided practice,60-120 sec,15,audio/sleep/p_802_aud_802_g_wind_down.m4a,"Let this be a transition rather than a test. You do not have to force sleep. Notice the body supported, soften the breath, and allow the next few minutes to be about settling rather than solving.",Ready for TTS,Not generated,Not checked,"Not sure exactly what this is for.  We’ll see it in context.   | Context must say this is a settling/transition practice, not a sleep guarantee. | Wind-down audio approved with clear page context: settling/transition practice, not forcing sleep."
B08 — Sleep,126,NEW-AUD-SL-HELP-001,Sleep,SL-008,When to seek sleep help,Scope/help explainer,30-45 sec,21,audio/sleep/sl_help_001_when_to_seek_help.m4a,"If sleep is persistently disrupted, if you snore heavily, gasp, stop breathing, feel very sleepy during the day, or if sleep problems feel unsafe or unmanageable, it is worth seeking direct help. Tinnitus tools can support sleep, but they should not replace evaluation for sleep conditions or mental health concerns.",Ready for TTS,Not generated,Not checked,Approved during asset-gap closure; final natural-phrasing edits allowed during TTS.
B09 — My Plan,127,AUD-950-S,My Plan,MP-001,My Plan,Short explainer,15-30 sec,13,audio/my_plan/p_950_aud_950_s_my_plan.m4a,"My Plan collects the pieces you choose to save: sounds, statements, reframes, mindfulness tools, sleep supports, and other reminders. It is here so the app becomes personal without sending your data anywhere.",Ready for TTS,Not generated,Not checked,Good
B09 — My Plan,128,AUD-900-S,My Plan,MP-003,Three Lines Journal,Short explainer,15-30 sec,14,audio/my_plan/p_900_aud_900_s_three_lines_journal.m4a,"The Three Lines Journal is a quick local check-in: sound therapy, emotional regulation, and mindfulness. A few words or a checkmark can be enough. This is about routine when we get started.",Ready for TTS,Not generated,Not checked,Adjusted.  
